Rank,Athlete,Nationality,Time
1,Franjo Mihalić,Yugoslavia,47:53
2,Frank Sando,England,48:03
3,Abdallah Ould Lamine,France,48:06
4,Eddie Bannon,Scotland,48:22
5,Fred Norris,England,48:40
6,Bill Gray,England,48:41
7,Pierre Prat,France,48:47
8,Buenaventura Baldoma,Spain,48:51
9,Mohamed Bouali,France,48:53
10,Hans Frischknecht,Switzerland,48:56
11,Jim Peters,England,49:00
12,Andy Forbes,Scotland,49:09
13,Marcel Vandewattyne,Belgium,49:21
14,Antonio Amoros,Spain,49:23
15,André Lecat,France,49:34
16,Boualem Labadie,France,49:39
17,Jose Coll,Spain,49:44
18,Stevan Pavlović,Yugoslavia,49:54
19,Gordon Pirie,England,50:01
20,Domica Cetinic,Yugoslavia,50:22
