Pos,Player,Transferred From,Fee/Notes,Date
DF,Andrew Boyens,Chivas USA,"Stage Two MLS Re-Entry Draft , Round 1","December 12 , 2011"
DF,Chris Leitch,San Jose Earthquakes,"Stage Two MLS Re-Entry Draft , Round 2","December 12 , 2011"
FW,Pat Noonan,Seattle Sounders,"Stage Two MLS Re-Entry Draft , Round 3","December 12 , 2011"
GK,Jon Conway,Chicago Fire,"Stage Two MLS Re-Entry Draft , Round 4","December 12 , 2011"
DF,Tommy Meyer,Indiana University,"SuperDraft , 1st round","January 12 , 2012"
MF,Kenney Walker,University of Louisville,"SuperDraft , 2nd round","January 12 , 2012"
DF,Bryan Gaul,Bradley University,"Supplemental Draft , 1st round","January 17 , 2012"
MF,Rafael Garcia,Cal State Northridge,"Supplemental Draft , 2nd round","January 17 , 2012"
FW,Yuri Gorentzvaig,Flamengo,"Supplemental Draft , 3rd round","January 17 , 2012"
FW,Steven Posa,University of San Diego,"Supplemental Draft , 4th round","January 17 , 2012"
DF,Justin Davies,San Diego State University,"Supplemental Draft , 4th round","January 17 , 2012"
