Constituency,Member,Party
Amritsar,Dr. Baldev Prakash,Janata Party
Bhatinda ( SC ),Sardar Dhanna Singh Gulshan,Akali Dal
Ferozepur,Mohinder Singh Sayanwala,Akali Dal
Gurdaspur,Yagya Datt Sharma,Janata Party
Hoshiarpur,Chowdhary Balbir Singh,Janata Party
Jullundur,Iqbal Singh Dhillon,Akali Dal
Ludhiana,Jagdev Singh Talwandi,Akali Dal
Patiala,Sardar Gurcharan Singh Tohra,Akali Dal
Phillaur ( SC ),Bhagat Ram,Communist Party of India ( Marxist )
Ropar ( SC ),Basant Singh Khalsa,Shiromani Akali Dal
Sangrur,Balwant Singh Ramoowalia,Akali Dal
Sangrur,Surjit Singh Barnala,Shiromani Akali Dal
Taran Taran,Mohan Singh Tur,Akali Dal
