Date,Co-hosts,Guests/segments
July 3,Regis Philbin & Kelly Ripa,"Jeremy Piven , Alexis Bledel , summer-entertainment advice"
July 4,Regis Philbin & Kelly Ripa,"Performances by 2006 American Idol contestants including Kevin Covais , Mandisa , Kellie Pickler , Paris Bennett , Chris Daughtry , Elliott Yamin , Katharine McPhee and Taylor Hicks"
July 5,Regis Philbin & Kelly Ripa,"Robert Downey Jr. , James Marsden"
July 6,Regis Philbin & Kelly Ripa,Orlando Bloom
July 7,Regis Philbin & Kelly Ripa,"Bernadette Peters , piñata-party tips from Ingrid Hoffmann , psychic John Edward , Grill Friday"
July 10,Regis Philbin & Kelly Ripa,"Tristan Rogers , Sugar Ray Leonard"
July 11,Regis Philbin & Kelly Ripa,"Marlon , Shawn & Keenen Ivory Wayans , Venus Williams"
July 12,Regis Philbin & Kelly Ripa,"Heidi Klum , Cheyenne Kimball"
July 13,Regis Philbin & Kelly Ripa,"Owen Wilson , Rainn Wilson"
July 14,Regis Philbin & Kelly Ripa,Grill Friday
July 17,Regis Philbin & Kelly Ripa,Luke Wilson
July 18,Regis Philbin & Kelly Ripa,"Paul Giamatti , Kevin Smith"
July 19,Regis Philbin & Kelly Ripa,Rosario Dawson
July 20,Regis Philbin & Kelly Ripa,"Bo Bice , Uma Thurman"
July 21,Regis Philbin & Kelly Ripa,"Rescue Me Dream Team Ambush Makeovers , Grill Friday"
July 24,Regis Philbin & Kelly Ripa,"Cameron Mathison , Dulé Hill"
July 25,Regis Philbin & Kelly Ripa,"Ashanti , Colin Farrell , a kids soapbox derby"
July 26,Regis Philbin & Kelly Ripa,"Jamie Foxx , Miss Universe"
July 27,Regis Philbin & Kelly Ripa,Jesse Metcalfe
July 28,Kelly Ripa & Geraldo Rivera,"Flavor Flav , LeToya , a kids bowling competition , Grill Friday"
