Player,To,Season
TP Sudhindra,Deccan Chargers,2012
Tanmay Mishra,Deccan Chargers,2012
Biplab Samantray,Deccan Chargers,2012
Tanmay Srivastava,Deccan Chargers,2012
Akshath Reddy,Deccan Chargers,2012
Syed Quadri,Deccan Chargers,2012
Veer Pratap Singh,Deccan Chargers,2012
Atchuta Rao,Deccan Chargers,2012
Sneha Kishore,Deccan Chargers,2012
Pawan Negi,Delhi Daredevils,2012
Manpreet Juneja,Delhi Daredevils,2012
Kuldeep Raval,Delhi Daredevils,2012
David Miller,Kings XI Punjab,2012-13
Gurkeerat Singh,Kings XI Punjab,2012
Parvinder Awana,Kings XI Punjab,2012
Chirag Jani,Kolkata Knight Riders,2012
Sanju Samson,Kolkata Knight Riders,2012
Iresh Saxena,Kolkata Knight Riders,2012
Debabrata Das,Kolkata Knight Riders,2012
Rahul Shukla,Mumbai Indians,2012
