Code,Official team name,License holder,Country,Groupset,Bicycles
ALM,Ag2r-La Mondiale ( 2013 season ),EUSRL France Cyclisme,France,SRAM,Focus
ARG,Argos-Shimano ( 2013 season ),SMS Cycling,Netherlands,Shimano,Felt
AST,Astana ( 2013 season ),Olympus Sarl,Kazakhstan,Campagnolo,Specialized
BMC,BMC Racing Team ( 2013 season ),Continuum Sports LLC,United States,Shimano,BMC
EUS,Euskaltel-Euskadi ( 2013 season ),Fundación Ciclista Euskadi,Spain,Shimano,Orbea
FDJ,FDJ.fr ( 2013 season ),Société de Gestion de L'Echappée,France,Shimano,Lapierre
GRM,Garmin-Sharp ( 2013 season ),"Slipstream Sports , LLC",United States,Shimano,Cervélo
OGE,Orica-GreenEDGE ( 2013 season ),Lachlan Smith,Australia,Shimano,Scott
LAM,Lampre-Merida ( 2013 season ),Total Cycling Limited,Italy,Shimano,Merida
CAN,Cannondale ( 2013 season ),Brixia Sports,Italy,SRAM,Cannondale
LTB,Lotto-Belisol ( 2013 season ),Belgian Cycling Company sa,Belgium,Campagnolo,Ridley
MOV,Movistar Team ( 2013 season ),Abarca Sports S.L,Spain,Campagnolo,Pinarello
OPQ,Omega Pharma-Quick-Step ( 2013 season ),Esperanza bvba,Belgium,SRAM,Specialized
BEL,Belkin Pro Cycling ( 2013 season ),Rabo Wielerploegen,Netherlands,Shimano,Giant
KAT,Team Katusha ( 2013 season ),Katusha Management SA,Russia,Shimano,Canyon
RLT,RadioShack-Leopard ( 2013 season ),Trek Bicycle Corporation,Luxembourg,Shimano,Trek
SAX,Saxo-Tinkoff ( 2013 season ),Riis Cycling A/S,Denmark,SRAM,Specialized
SKY,Team Sky ( 2013 season ),Tour Racing Limited,United Kingdom,Shimano,Pinarello
VCD,Vacansoleil-DCM ( 2013 season ),STL-Pro Cycling B.V,Netherlands,Shimano,Bianchi
