Title / individual commemorated,Location,Date,Sculptor / Designer
Sir Robert Peel,"Piccadilly Gardens , Manchester",1853,William Calder Marshall
John Dalton,"Chester Street , Manchester",1855,William Theed
Duke of Wellington,"Piccadilly Gardens , Manchester",1856,Matthew Noble
James Watt,"Piccadilly Gardens , Manchester",1857,William Theed
Albert Memorial,"Albert Square , Manchester",1867,Statue Matthew Noble / Canopy Thomas Worthington
Richard Cobden,"St Ann 's Square , Manchester",1867,Marshall Wood
Oliver Cromwell,"Wythenshawe Hall , Manchester",1875,Matthew Noble
James Fraser,"Albert Square , Manchester",1888,Thomas Woolner
John Bright,"Albert Square , Manchester",1891,Albert Bruce-Joy
Oliver Heywood,"Albert Square , Manchester",1894,Albert Bruce-Joy
Queen Victoria,"Piccadilly Gardens , Manchester",1901,Edward Onslow Ford
William Gladstone,"Albert Square , Manchester",1901,Mario Raggi
Adrift,"St Peter 's Square , Manchester",1908,John Cassidy
The Last Shot / South African War Memorial,"St Ann 's Square , Manchester",1908,Hamo Thornycroft
Edward VII,Whitworth Park Manchester,1913,John Cassidy
Abraham Lincoln,"Lincoln Square , Brazennose St , Manchester",1919,George Grey Barnard
Manchester Cenotaph,"Piccadilly Gardens , Manchester",1924,Edwin Lutyens
Messenger Of Peace,"Cooper Street , Manchester",1986,Barbara Pearson
Robert Owen,"Balloon Street , Manchester",1994,Gilbert Bayes
Life Cycle,"Deansgate , Manchester",1995,George Wyllie
