Location,Restaurant,Chef ( s ),Awarded since
Hong Kong,Lung King Heen,Chan Yan Tak,2009
Hong Kong,8½ Otto e Mezzo Bombana,Umberto Bombana and Keith Yam Ka Lok,2012
Hong Kong,L'Atelier de Joël Robuchon,David Alves,2012
Hong Kong,Forum Restaurant,Yeung Koon Yat,2020
Hong Kong,Sushi Shikon,Yoshiharu Kakinuma,2014
Hong Kong,T'ang Court,Kwong Wai Keung,2016
Hong Kong,Caprice,Guillaume Galliot,2019 ( & 2010-13 )
Macau,Jade Dragon,Kelvin Au Yeung,2019
Macau,Robuchon au Dôme,Julien Tongourian,2009
Macau,The Eight,Cheung Tan-leung,2014
