Event,Prize Money,Year-to-date
Australian Open,"$ 1,004,560","$ 1,004,560"
Dubai Duty Free Tennis Championships,"$ 300,000","$ 1,304,560"
Dubai Duty Free Tennis Championships ( doubles ),"$ 6,510","$ 1,311,070"
Pacific Life Open,"$ 9,000","$ 1,320,070"
Pacific Life Open ( doubles ),"$ 5,300","$ 1,325,370"
Sony Ericsson Open,"$ 35,000","$ 1,360,370"
Monte Carlo Masters,"$ 200,000","$ 1,560,370"
Internazionali BNL d'Italia,"$ 25,000","$ 1,585,370"
Internazionali BNL d'Italia ( doubles ),"$ 1,750","$ 1,587,120"
Hamburg Masters,"$ 400,000","$ 1,987,120"
Hamburg Masters ( doubles ),"$ 1,750","$ 1,988,870"
French Open,"$ 671,775","$ 2,660,645"
"The Championships , Wimbledon","$ 1,399,175","$ 4,059,820"
Rogers Cup,"$ 200,000","$ 4,259,820"
Rogers Cup ( doubles ),"$ 3,800","$ 4,263,620"
Western & Southern Financial Group Masters,"$ 400,000","$ 4,663,620"
US Open,"$ 2,400,000","$ 7,063,620"
Mutua Madrilena Masters Madrid,"$ 200,000","$ 7,263,620"
Davidoff Swiss Indoors,"$ 142,000","$ 7,405,620"
BNP Paribas Masters,"$ 25,000","$ 7,430,620"
