Pos,No,Driver,Constructor,Lap,Gap
1,6,Juan Pablo Montoya,Williams - BMW,1:38.117,-
2,5,Ralf Schumacher,Williams - BMW,1:38.136,+0.019
3,3,Mika Häkkinen,McLaren - Mercedes,1:38.811,+0.694
4,1,Michael Schumacher,Ferrari,1:38.941,+0.824
5,4,David Coulthard,McLaren - Mercedes,1:39.574,+1.457
6,2,Rubens Barrichello,Ferrari,1:39.682,+1.565
7,16,Nick Heidfeld,Sauber - Petronas,1:39.921,+1.804
8,17,Kimi Räikkönen,Sauber - Petronas,1:40.072,+1.955
9,19,Pedro de la Rosa,Jaguar - Cosworth,1:40.265,+2.148
10,12,Jarno Trulli,Jordan - Honda,1:40.322,+2.205
11,18,Eddie Irvine,Jaguar - Cosworth,1:40.371,+2.254
12,10,Jacques Villeneuve,BAR - Honda,1:40.437,+2.320
13,9,Olivier Panis,BAR - Honda,1:40.610,+2.493
14,22,Jean Alesi,Prost - Acer,1:40.740,+2.623
15,11,Ricardo Zonta,Jordan - Honda,1:41.174,+3.057
16,23,Luciano Burti,Prost - Acer,1:41.213,+3.096
17,7,Giancarlo Fisichella,Benetton - Renault,1:41.299,+3.182
18,8,Jenson Button,Benetton - Renault,1:41.438,+3.321
19,15,Enrique Bernoldi,Arrows - Asiatech,1:41.668,+3.551
20,14,Jos Verstappen,Arrows - Asiatech,1:41.870,+3.753
