Round,Pick,Player,Recruited from,Club
1,1,Damien Lyon,Prahran Dragons,Collingwood
1,2,Nathan Carroll,Claremont,Fremantle
1,3,Mark Bradly,Melbourne,Melbourne
1,4,Michael Doughty,South Adelaide,Adelaide
1,5,Ben Haynes,Western Jets,Richmond
1,6,Marcus Baldwin,Hawthorn ( reserves ),Geelong
1,7,Mark Wittison,Prahran Dragons,St Kilda
1,8,Ryan Ablett,Beaconsfield,Hawthorn
1,9,Tadhg Kennelly,Kerry,Sydney
1,10,Darren Burton,Port Adelaide,Port Adelaide
1,11,Matthiue Lucas,St Kevins,Western Bulldogs
1,12,Toby McGrath,South Fremantle,West Coast
1,13,Ben Doherty,Morningside,Brisbane Lions
1,14,Cory McGrath,South Fremantle,Essendon
1,15,Adam Pickering,Calder Cannons,Carlton
1,16,Nick Lowther,Kangaroos ( reserves ),Kangaroos
2,17,Leigh Sheehan,Gippsland Power,Collingwood
2,18,Robbie Haddrill,Perth,Fremantle
2,19,Luke Taylor,Melbourne ( reserves ),Melbourne
2,20,Josh Coulter,Central District,Adelaide
