Rank,Rider,Team,Points
1,Fridtjof Røinås ( NOR ),Joker Fuel of Norway,84
2,Mads Rahbek ( DEN ),BHS-Almeborg Bornholm,68
3,Torstein Træen ( NOR ),Uno-X Norwegian Development Team,56
4,Sasha Weemaes ( BEL ),Sport Vlaanderen-Baloise,36
5,Mads Würtz Schmidt ( DEN ),Team PostNord Danmark,24
6,Paolo Simion ( ITA ),Bardiani-CSF,20
7,Martin Salmon ( GER ),Team Sunweb,16
8,Andreas Vangstad ( NOR ),Joker Fuel of Norway,16
9,Umberto Poli ( ITA ),Team Novo Nordisk,16
10,Silas Zacharias Clemmensen ( DEN ),Team Waoo,12
