Rank,Country,Team,Points
1,Italy,Aldo Tomasini Franco Fava Luca Bigatello,19
2,England,David Black Barry Smith Dennis Coates,22
3,Morocco,Larbi M'Hidra Ahmed Roubial Mohamed Chahin,26
4,Spain,Ricardo Ortega Fernando Cerrada José Haro,27
5,Scotland,Jim Brown Paul Bannon Laurence Reilly,35
6,Belgium,Léon Schots Mark Broeckx Robert Lismont,63
7,Ireland,Robin Walker Eamonn Coghlan Desmond O'Connor,77
8,Wales,Peter Ratcliffe Brian Donovan John Davies,78
9,Algeria,Kamel Guemar Lakhdar Boulkhoukh Abdelmadjid Mada,86
10,Switzerland,Franz Bühler Hanspeter Stauffacher Hugo Wey,87
11,Tunisia,Abdelkrim Djelassi Taieb Merdassi Mohamed Moussa,89
12,Northern Ireland,Tom Hesketh Dessi Martin Paul Younger,145
