#,Name,Net worth,Sources of wealth
1,Bernard Arnault & family,€34.66 billion,LVMH
2,Liliane Bettencourt & family,€30.90 billion,L'Oréal
3,Axel Dumas & Hermes family,€24.10 billion,Hermès
4,Gérard Mulliez & family,€23.00 billion,Auchan
5,Serge Dassault & family,€17.50 billion,Dassault
6,Patrick Drahi,€16.70 billion,Altice
7,Alain & Gérard Wertheimer & family,€16.50 billion,Chanel
8,François Pinault & family,€12.70 billion,Kering
9,Vincent Bolloré,€11.14 billion,Bolloré
10,Xavier Niel,€7.83 billion,Iliad
