US,Single,Artist
20,15 Minutes,Rodney Atkins
14,All I Ask For Anymore,Trace Adkins
1,Already Gone,Sugarland
1,Alright,Darius Rucker
11,Always the Love Songs,Eli Young Band
1,American Ride,Toby Keith
10,Barefoot and Crazy,Jack Ingram
9,Best Days of Your Life,Kellie Pickler
1,Big Green Tractor,Jason Aldean
4,Bonfire,Craig Morgan
2,Boots On,Randy Houser
1,Country Boy,Alan Jackson
1,Cowboy Casanova,Carrie Underwood
2,Cowgirls Do n't Cry,Brooks & Dunn featuring Reba McEntire
2,Do I,Luke Bryan
2,Do n't,Billy Currington
2,Do n't Think I Ca n't Love You,Jake Owen
1,Down the Road,Kenny Chesney with Mac McAnally
11,Eight Second Ride,Jake Owen
20,Everything Is Fine,Josh Turner
