Name,Height ( cm ),Weight ( kg ),Birthdate,Birthplace,1967-1968 team
Herb Brooks,186,98,"August 5 , 1937","Saint Paul , Minnesota",Rochester Mustangs ( USHL )
John Cunniff,186,89,"July 9 , 1944","Boston , Massachusetts",Boston College
Jack Dale,175,73,"December 19 , 1945","Saint Paul , Minnesota",University of Minnesota
Craig Falkman,180,95,"August 1 , 1943","Saint Paul , Minnesota",Rochester Mustangs ( USHL )
"Robert Gaudreau , Sr",186,82,"March 8 , 1944","Providence , Rhode Island",Brown University
Paul Hurley,183,86,"July 12 , 1945","Everett , Massachusetts",Boston College
Thomas Hurley,186,91,"August 29 , 1944","Massena , New York",Clarkson University
Leonard Lilyholm,183,82,"April 1 , 1941","Minneapolis , Minnesota",Rochester Mustangs ( USHL )
James Logue,183,89,"25 , March 1941","Melrose , Massachusetts",Concord Eastern Olympics ( NEnHL )
John Morrison,180,84,"April 6 , 1945","Minneapolis , Minnesota",Yale University
Lou Nanne,173,75,"June 2 , 1941","Sault Sainte Marie , Ontario",Rochester Mustangs ( USHL )
Bob Paradise,176,80,"22 , April 1944","Saint Paul , Minnesota",Minnesota Nationals ( USHL )
Larry Pleau,180,84,"June 29 , 1947","Boston , Massachusetts",Montreal Junior Canadiens ( OHL )
Bruce Riutta,191,89,"October 14 , 1944","Hancock , Michigan",Michigan Tech
Donald Ross,180,83,"October 11 , 1942","Roseau , Minnesota",None
Pat Rupp,175,81,"August 12 , 1942","Detroit , Michigan",Dayton Gems ( IHL )
Larry Stordahl,175,77,"October 23 , 1942","Thief River Falls , Minnesota",Rochester Mustangs ( USHL )
Doug Volmar,181,80,"January 9 , 1945","Cleveland , Ohio",Michigan State University
