Rank,Wrestler,No . of reigns,Combined defenses,Combined days
1,Canadian NINJAs ( Nicole Matthews and Portia Perez ),2,10,973
2,Global Green Gangsters ( Kellie Skater and Tomoka Nakagawa ),1,13,727
3,The Kimber Bombs ( Cherry Bomb and Kimber Lee ),1,5,442
4,Cheerleader Melissa and Mercedes Martinez,1,4,377
5,Mount Tessa ( Tessa Blanchard and Vanessa Kraven ),1,6,363
6,Totally Tubular Tag Team ( Delilah Doom and Leva Bates ),1,5,344
7,Ashley Lane and Nevaeh,1,6,196
8,Daizee Haze and Tomoka Nakagawa,1,1,188
9,Ayako Hamada and Ayumi Kurihara,1,6,169
10,Team Slap Happy ( Evie and Heidi Lovelace ),1,3,140
11,The Queens of Winning ( Courtney Rush and Sara Del Rey ),1,0,111
12,Team Sea Stars ( Ashley Vox and Delmi Exo ) †,1,2,97+
13,Seven Star Sisters ( Hiroyo Matsumoto and Misaki Ohata ),1,2,1
