Name,Park,Type,Manufacturer,Opened
Arctic Blast,Hong Kong Ocean Park,Powered roller coaster,Mack Rides,July 13
Big Grizzly Mountain Runaway Mine Cars,Hong Kong Hong Kong Disneyland,Mine train roller coaster,Vekoma,July 13
Bullet Coaster,"China Happy Valley , Shenzhen",Launched roller coaster,S & S Worldwide,July 28
Dauling Dragon,"China Happy Valley , Wuhan",Wooden roller coaster,Martin & Vleminckx,April 29
Dinoconda,China China Dinosaurs Park,4th Dimension roller coaster,S & S Worldwide,April 29
Divertical,Italy Mirabilandia,Water Coaster,Intamin,June 16
Dragon Fly,Netherlands Duinrell,Family roller coaster,Gerstlauer,March 31
Iron Shark,United States Galveston Island Historic Pleasure Pier,Gerstlauer Euro-Fighter,Gerstlauer,June 1
Lego Technic Test Track,Malaysia Legoland Malaysia,Wild Mouse roller coaster,Mack Rides,September 15
Leviathan,Canada Canada 's Wonderland,Giga coaster,Bolliger & Mabillard,May 6
Manta,United States SeaWorld San Diego,Launched roller coaster,Mack Rides,May 26
OzIris,France Parc Astérix,Inverted roller coaster,Bolliger & Mabillard,April 7
Polar X-plorer,Denmark Legoland Billund,Family roller coaster,Zierer,April 29
Shambhala : Expedición al Himalaya,Spain PortAventura Park,Hyper coaster,Bolliger & Mabillard,May 12
Skyrush,United States Hersheypark,Hyper coaster,Intamin,May 26
Superman : Ultimate Flight,United States Six Flags Discovery Kingdom,Launched roller coaster,Premier Rides,June 30
The Swarm,Thorpe Park,Wing Coaster,Bolliger & Mabillard,March 15
Tren de la mina,Spain Parque de Atracciones Madrid,Family roller coaster,Gerstlauer,March 30
Verbolten,United States Busch Gardens Williamsburg,Launched roller coaster,Zierer,May 18
Wild Eagle,United States Dollywood,Wing Coaster,Bolliger & Mabillard,March 24
