Market /city,Call sign,Affiliation,Available ?,Notes
"Rochester , New York",WOKR-TV,ABC,Bumped,Sudbury/North Bay/Timmins ; bumped for WXYZ Detroit
"Rochester , New York",WUHF-TV,Fox,Yes,
"Buffalo , New York",WIVB-TV,CBS,Dropped,Bumped for WWTV Traverse City
"Buffalo , New York",WKBW-TV,ABC,No,
"Buffalo , New York",WGRZ,NBC,Dropped,Bumped for WDIV Detroit
"Buffalo , New York",WUTV,Fox,No,
"Buffalo , New York",WNED-TV,PBS,Yes,Sudbury/North Bay/Timmins only
"Detroit , Michigan",WWJ-TV,CBS,Yes,
"Detroit , Michigan",WXYZ-TV,ABC,Yes,
"Detroit , Michigan",WDIV-TV,NBC,Yes,
"Detroit , Michigan",WJBK,Fox,No,
"Detroit , Michigan",WTVS,PBS,Yes,Except Sudbury/North Bay/Timmins
"Flint , Michigan",WJRT-TV,ABC,Dropped,"Sault Ste . Marie , ON only ; bumped for WXYZ Detroit"
"Marquette , Michigan",WNMU,PBS,Dropped,Sault Ste . Marie only ; bumped for WTVS Detroit
"Marquette , Michigan",WLUC,NBC,Dropped,Only seen along Lake Superior shoreline ; bumped for WDIV Detroit
"Alpena , Michigan",WCML,PBS,Dropped,Not carried in Sault Ste . Marie ; bumped for WNED-TV Buffalo ( Sudbury/North Bay/Timmins ) or WTVS Detroit ( elsewhere )
"Sault Ste . Marie , Michigan",WWTV/WWUP,CBS,Dropped,Bumped for WWJ Detroit
"Sault Ste . Marie , Michigan",WGTQ,ABC,Dropped,Bumped for WJRT Flint ( Sault Ste . Marie only ) or WXYZ Detroit ( elsewhere )
"Sault Ste . Marie , Michigan",WTOM,NBC,Dropped,"Sault Ste . Marie , ON only ; bumped for WDIV Detroit"
"Sault Ste . Marie , Michigan",WWUP,Fox,No,
