Site,Municipality,Type,Ref
* Ichijōdani Asakura Family Site 一乗谷朝倉氏遺跡 Ichijōdani Asakura-shi iseki,Fukui,"2 , 3 , 6 , 8",00003445
Ōzan Kofun Cluster 王山古墳群 Ōzan kofun-gun,Sabae,1,1063
Okozu Salt Works 岡津製塩遺跡 Okozu seien iseki,Obama,6,1070
Shimofunazuka Kofun 下船塚古墳 Shimofunazuka kofun,Wakasa,1,1059
Kabutoyama Kofun 兜山古墳 Kabutoyama kofun,Sabae,1,1068
Maruoka Domain Battery Site 丸岡藩砲台跡 Maruoka-han hōdai ato,Sakai,2,1037
Yoshizaki-gobō Site 吉崎御坊跡 Yoshizaki-gobō ato,Awara,3,1064
Kanagasaki Castle Site 金ヶ崎城跡 Kanagasaki-jō ato,Tsuruga,2,1046
Nochiseyama Castle Site 後瀬山城跡 Nochiseyama-jō ato,Obama,2,1074
Wakasa Kokubun-ji Site 若狭国分寺跡 Wakasa Kokubun-ji ato,Obama,3,1065
Obama Domain Battery Sites 小浜藩台場跡 Obama-han daiba ato,Ōi,2,3279
Matsuoka Kofun Cluster 松岡古墳群 Matsuoka kofun-gun,Eiheiji,1,1069
Jōnozuka Kofun 上ノ塚古墳 Jōnozuka kofun,Wakasa,1,1056
Kamifunazuka Kofun 上船塚古墳 Kamifunazuka kofun,Wakasa,1,1058
Nishizuka Kofun 西塚古墳 Nishizuka kofun,Wakasa,1,1055
Nakagō Kofun Cluster 中郷古墳群 Nakagō kofun-gun,Tsuruga,1,1072
Nakatsuka Kofun 中塚古墳 Nakatsuka kofun,Wakasa,1,1057
Tōmyōji Nitta Yoshisada Legendary War Memorial 燈明寺畷新田義貞戦歿伝説地 Tōmyōji nawate Nitta Yoshisada senbotsu densetsu-chi,Fukui,8,1032
Heisen-ji Former Precinct 白山平泉寺旧境内 Hakusan Heisenji kyū-keidai,Katsuyama,3,1053
Grave of Takeda Kōunsai and his Followers 武田耕雲斎等墓 Takeda Kōunsai tō no haka,Tsuruga,7,1049
