Name,College,Years at Oxford,Notes
"Charles Abbott , 1st Baron Tenterden",Corpus Christi,1781-1784,Lord Chief Justice of the King 's Bench 1818-32
"Henry Bathurst , 2nd Earl Bathurst , 1st Baron Apsley",Balliol,1730-,Lord Chancellor 1771-78
"Ian Burnett , Baron Burnett of Maldon",Pembroke,,Lord Chief Justice 2017-
"Richard Bethell , 1st Baron Westbury",Wadham,1814-1819,Lord Chancellor 1861-65
"Thomas Bingham , Baron Bingham of Cornhill",Balliol,1954-,"Master of the Rolls 1992-1996 , Lord Chief Justice 1996-2000 , Senior Law Lord 2000-2008"
"Stanley Buckmaster , 1st Viscount Buckmaster",Christ Church,1879-1882,"Solicitor General 1913-15 , Lord Chancellor 1915-16"
"John Coleridge , 1st Baron Coleridge",Balliol,1838-1843,"Fellow of Exeter College 1843-1846 , Chief Justice of the Common Pleas 1873-80 , Lord Chief Justice 1880-94"
"Gerald Gardiner , Baron Gardiner",Magdalen,-1923,Lord Chancellor 1964-70
David Gauke,St Edmund Hall,1990-1993,Lord Chancellor 2018-
"Hardinge Giffard , 1st Earl of Halsbury",Merton,1842-1845,"Lord Chancellor 1885-86 , 1886-92 , & 1895-1905"
"Rayner Goddard , Baron Goddard",Trinity,-1898,Lord Chief Justice 1946-1958
Matthew Hale,Magdalen Hall,1626-1629,"Lord Chief Baron of the Exchequer 1660-71 , Lord Chief Justice 1671-76"
"Quintin Hogg , Baron Hailsham of St Marylebone",Christ Church,1927-1931,"Prize Fellow of All Souls 1931 , Lord Chancellor 1970-74 and 1979-87"
John Holt,Oriel,1658-,Lord Chief Justice 1689-1710
"William Jowitt , 1st Earl Jowitt",New College,1903-1906,"Solicitor General 1940-42 , Lord Chancellor 1945-51"
"Reginald Manningham-Buller , 1st Viscount Dilhorne",Magdalen,-1926,Lord Chancellor 1962-1964
Thomas More,Oriel or Canterbury,1492-1494,Lord Chancellor 1529-1532
"William Murray , 1st Earl of Mansfield",Christ Church,1723-1727,Lord Chief Justice of the King 's Bench 1756-88
John Popham,Balliol,,"Speaker of the House of Commons 1580-83 , Lord Chief Justice 1592-1607"
"Robert Reid , 1st Earl Loreburn",Balliol,-1868,Lord Chancellor 1907-1912
