Sending country,Ambassador,Credentials ( As of 12 April 2019 ),Embassy location,Embassy website
Afghanistan,Abdel-Ellah Sediqi,26 July 2016,Paris,[ 1 ]
Albania,Dritan Tola,25 March 2013,Paris,[ 2 ]
Algeria,Abdelkader Mesdoua,18 December 2017,Paris,[ 3 ]
Andorra,Cristina Rodriguez Galan,6 July 2015,Paris,
Angola,João Bernardo de Miranda,31 August 2018,Paris,[ 4 ]
Argentina,Mario Raùl Veron Guerra,31 August 2018,Paris,[ 5 ]
Armenia,Hasmik Tolmajyan,31 August 2018,Paris,[ 6 ]
Australia,Brendan E. Berne,18 December 2017,Paris,[ 7 ]
Austria,Michael Linhart,12 April 2019,Paris,[ 8 ]
Azerbaijan,Rahman Mustafayev,13 October 2017,Paris,[ 9 ]
Bahamas,Eldred Edison Bethel,22 February 2013,"London , UK",[ 10 ]
Bahrain,Muhammad Abdul Ghaffar Abdulla,8 September 2015,Paris,[ 11 ]
Bangladesh,Kazi Imtiaz Hossein ),18 December 2017,Paris,[ 12 ]
Barbados,Joy-Ann Skinner,12 April 2019,"Brussels , Belgium",
Belarus,Igor Fissenko,12 April 2019,Paris,[ 13 ]
Belgium,François de Kerchove d'Exaerde,12 April 2019,Paris,[ 14 ]
Belize,Dylan Vernon,8 July 2014,"Brussels , Belgium",[ 15 ]
Benin,Auguste Comlan Alavo,23 February 2017,Paris,[ 16 ]
Bolivia,Juan Gonzalo Duran Flores,13 October 2017,Paris,[ 17 ]
Bosnia and Herzegovina,Kemal Muftić,31 August 2018,Paris,
