Season,Champions,Runners-up,Third place
2007-08,Dempo ( 3 ),Churchill Brothers,JCT
2008-09,Churchill Brothers ( 1 ),Mohun Bagan,Sporting Goa
2009-10,Dempo ( 4 ),Churchill Brothers,Pune
2010-11,Salgaocar ( 2 ),East Bengal,Dempo
2011-12,Dempo ( 5 ),East Bengal,Churchill Brothers
2012-13,Churchill Brothers ( 2 ),Pune,East Bengal
2013-14,Bengaluru ( 1 ),East Bengal,Salgaocar
2014-15,Mohun Bagan ( 4 ),Bengaluru,Royal Wahingdoh
2015-16,Bengaluru ( 2 ),Mohun Bagan,East Bengal
2016-17,Aizawl ( 1 ),Mohun Bagan,East Bengal
2017-18,Minerva Punjab ( 1 ),NEROCA,Mohun Bagan
2018-19,Chennai City ( 1 ),East Bengal,Real Kashmir
