Station,Line ( s ),Location,Date opened
Anaheim,Orange County Line,Anaheim,"December 6 , 2014"
Anaheim Canyon,Inland Empire-Orange County Line,Anaheim,"August 5 , 1996"
Baldwin Park,San Bernardino Line,Baldwin Park,"May 24 , 1993"
Buena Park,Orange County Line 91/Perris Valley Line,Buena Park,"September 4 , 2007"
Burbank-Downtown,Antelope Valley Line Ventura County Line,Burbank,"October 26 , 1992"
Burbank Airport-North,Antelope Valley Line,Burbank,"May 14 , 2018"
Burbank Airport-South,Ventura County Line,Burbank,"April 24 , 1995"
Cal State LA,San Bernardino Line,Los Angeles,"October 26 , 1994"
Camarillo,Ventura County Line,Camarillo,"February 14 , 1994"
Chatsworth,Ventura County Line,Los Angeles,"October 26 , 1992"
Claremont,San Bernardino Line,Claremont,"December 5 , 1992"
Commerce,Orange County Line,Commerce,"March 28 , 1994"
Corona-North Main,Inland Empire-Orange County Line 91/Perris Valley Line,Corona,"November 22 , 2002"
Corona-West,Inland Empire-Orange County Line 91/Perris Valley Line,Corona,"October 2 , 1995"
Covina,San Bernardino Line,Covina,"October 26 , 1992"
East Ventura †,Ventura County Line,Ventura,"November 11 , 2002"
El Monte,San Bernardino Line,El Monte,"October 26 , 1992"
Fontana,San Bernardino Line,Fontana,"November 22 , 1993"
Fullerton,Orange County Line 91/Perris Valley Line,Fullerton,"March 28 , 1994"
Glendale,Antelope Valley Line Ventura County Line,Glendale,"October 26 , 1992"
