Medal,Name,Sport,Event,Date
Gold,Patrick Hausding Sascha Klein,Diving,Men 's 10 m synchronized platform,21 July
Gold,Thomas Lurz Christian Reichert Isabelle Härle,Open water swimming,Team,25 July
Gold,Thomas Lurz,Open water swimming,Men 's 25 km,27 July
Silver,Thomas Lurz,Open water swimming,Men 's 10 km,22 July
Silver,Angela Maurer,Open water swimming,Women 's 25 km,27 July
Silver,Marco Koch,Swimming,Men 's 200 m breaststroke,2 August
Bronze,Thomas Lurz,Open water swimming,Men 's 5 km,20 July
Bronze,Angela Maurer,Open water swimming,Women 's 10 km,23 July
Bronze,Sascha Klein,Diving,Men 's 10 m platform,28 July
Bronze,Anna Bader,High diving,Women 's high diving,30 July
