Name,Country,Selection,Time in space,Missions
Jean-François Clervoy,France,1992 ESA Group,28d 03h 05m,"STS-66 , STS-84 , STS-103"
Samantha Cristoforetti,Italy,2009 ESA Group,199d 16h 43m,"Soyuz TMA-15M , ( Expedition 42 / 43 )"
Léopold Eyharts,France,1998 ESA Group,68d 21h 31m,"Soyuz TM-27 , Soyuz TM-26 , STS-122 , Expedition 16 , STS-123"
Christer Fuglesang,Sweden,1992 ESA Group,26d 17h 38m,"STS-116 , STS-128"
Alexander Gerst,Germany,2009 ESA Group,362d 1h 50m,"Soyuz TMA-13M ( Expedition 40 / 41 ) , Soyuz MS-09 ( Expedition 56 / 57 )"
André Kuipers,Netherlands,1998 ESA Group,203d 15h 51m,"Soyuz TMA-4 , Soyuz TMA-3 , Soyuz TMA-03M , ( Expedition 30 , 31 )"
Andreas Mogensen,Denmark,2009 ESA Group,9d 20h 14m,Soyuz TMA-18M / Soyuz TMA-16M
Luca Parmitano,Italy,2009 ESA Group,166d 6h 19m,"Soyuz TMA-09M , ( Expedition 36 / 37 ) , Currently in space : Soyuz MS-13 , ( Expedition 60 / 61 )"
Timothy Peake,United Kingdom,2009 ESA Group,185d 22h 11m,Soyuz TMA-19M ( Expedition 46 / 47 )
Thomas Pesquet,France,2009 ESA Group,196d 17h 49m,Soyuz MS-03 ( Expedition 50 / 51 )
Hans Schlegel,Germany,1998 ESA Group,22d 18h 02m,"STS-55 , STS-122"
Roberto Vittori,Italy,1998 ESA Group,35d 12h 26m,"Soyuz TM-34 , Soyuz TM-33 , Soyuz TMA-6 , Soyuz TMA-5 , STS-134"
Matthias Maurer,Germany,2015 ESA Astronaut Corps,No flight,No missions
