Year,Name,Show
2001,Nitin Chandrakant Desai,The Great Warrior Chhatrapati Shivaji
2002,Jayant Deshmukh,Amrapali ( DD National )
2003,Chokas Bharadwaj,Kashmeer
2004,Arup Adhikari,The Brian Silas Show
2005,Mukesh Kalola,Hatim
2006,Omung Kumar,Dharti Ka Veer Yodha Prithviraj Chauhan
2007,Nitin Chandrakant Desai,Bigg Boss
2008,Chokas Bharadwaj,Jai Shri Krishna
2009,Nitin Chandrakant Desai,Chittod Ki Rani Padmini Ka Johur
2010,Samir Chanda,Bigg Boss 3
2011,Akshay Vayeda,Mukti Bandhan
2012,Omung Kumar,MasterChef India
2013,Sandesh & Vishwanath,Bharat Ka Veer Putra - Maharana Pratap
2014,Omung Kumar,Jhalak Dikhhla Jaa 7
2015,? ?,
2016,Omung Kumar,Jhalak Dikhhla Jaa 8
2017,Chandravadan More,Peshwa Bajirao
