Medal,Name,Sport,Event,Date
Gold,Thobias Fredriksson Björn Lind,Cross-country skiing,Men 's team sprint,14 February
Gold,Lina Andersson Anna Dahlberg,Cross-country skiing,Women 's team sprint,14 February
Gold,Anja Pärson,Alpine skiing,Women 's slalom,22 February
Gold,Björn Lind,Cross-country skiing,Men 's individual sprint,22 February
Gold,Ulrika Bergman Cathrine Lindahl Eva Lund Anette Norberg Anna Svärd,Curling,Women 's tournament,23 February
Gold,Anna Carin Olofsson,Biathlon,Women 's mass start,25 February
Gold,Sweden men 's national ice hockey team Daniel Alfredsson P. J. Axelsson Christian Bäckman Peter Forsberg Mika Hannula Niclas Hävelid Tomas Holmström Jörgen Jönsson Kenny Jönsson Niklas Kronwall Nicklas Lidström Stefan Liv Henrik Lundqvist Fredrik Modin Mattias Öhlund Samuel Påhlsson Mikael Samuelsson Daniel Sedin Henrik Sedin Mats Sundin Ronnie Sundin Mikael Tellqvist Daniel Tjärnqvist Henrik Zetterberg,Ice hockey,Men 's tournament,26 February
Silver,Anna Carin Olofsson,Biathlon,Women 's sprint,16 February
Silver,Sweden women 's national ice hockey team Cecilia Andersson Gunilla Andersson Jenni Asserholt Ann-Louise Edstrand Joa Elfsberg Emma Eliasson Erika Holst Nanna Jansson Jenny Lindqvist Kristina Lundberg Kim Martin Frida Nevalainen Emilie O'Konor Maria Rooth Danijela Rundqvist Therese Sjölander Katarina Timglas Anna Vikman Pernilla Winberg,Ice hockey,Women 's tournament,20 February
Bronze,Anja Pärson,Alpine skiing,Women 's downhill,15 February
Bronze,Anja Pärson,Alpine skiing,Women 's combined,18 February
Bronze,Mathias Fredriksson Mats Larsson Johan Olsson Anders Södergren,Cross-country skiing,Men 's 4 × 10 km relay,19 February
Bronze,Thobias Fredriksson,Cross-country skiing,Men 's individual sprint,22 February
Bronze,Anna Ottosson,Alpine skiing,Women 's giant slalom,24 February
