Program,New network ( s ),Previous network ( s ),Date
ER ER,Go !,Nine Network,7 January
That Mitchell and Webb Look,UKTV,ABC1,7 January
Do n't Tell the Bride Do n't Tell the Bride,LifeStyle You,The LifeStyle Channel,8 January
"Jonathon Ross Show , The The Jonathan Ross Show",UKTV,Seven Network,10 January
King of the Hill King of the Hill,7Two,Seven Network,24 January
Gok 's Fashion Fix,LifeStyle You,The LifeStyle Channel,28 January
Shortland Street,ABC1,SBS One,28 January
Flavor of Love,MTV,VH1,6 February
Top Gear Top Gear,Nine Network,SBS One,16 February
Mercy Mercy,7Two,Seven Network,17 February
"Sopranos , The The Sopranos",7Two,Nine Network,24 January
"Sopranos , The The Sopranos",7mate,7Two,27 September
Gavin & Stacey Gavin & Stacey,ABC2,Seven Network,25 February
The Legends of Treasure Island,7Two,ABC1,21 March
Woof !,7Two,Nine Network ABC1,4 April
Zero Hour Zero Hour,Network Ten,Seven Network,1 May
Celebrity Fit Club,LifeStyle You,VH1,18 August
Friends,GEM,Nine Network,26 September
Life Begins Mighty Ships,7mate,Seven Network,2 October
Two and a Half Men,FOX8,Arena,October
