,Name on the Register,Date listed,Location,City or town
1,Carbon County Jail,"November 8 , 1974 ( # 74001764 )",128 Broadway Street 40°51′50″N 75°44′49″W / 40.863889°N 75.746944°W / 40.863889 ; -75.746944 ( Carbon County Jail ),Jim Thorpe
2,Carbon County Section of the Lehigh Canal,"August 10 , 1979 ( # 79002179 )",Along the Lehigh River 40°49′03″N 75°40′08″W / 40.8175°N 75.668889°W / 40.8175 ; -75.668889 ( Carbon County Section of the Lehigh Canal ),"Bowmanstown , Franklin Township , Jim Thorpe , Lower Towamensing Township , Palmerton , Parryville , and Weissport"
3,Central Railroad of New Jersey Station,"January 1 , 1976 ( # 76001615 )",Susquehanna Street 40°51′46″N 75°44′19″W / 40.862778°N 75.738611°W / 40.862778 ; -75.738611 ( Central Railroad of New Jersey Station ),Jim Thorpe
4,The Grotto-Our Lady of Lourdes Shrine,"September 20 , 2019 ( # 11000923 )",15 E. Garibaldi Ave. 40°52′09″N 75°48′55″W / 40.8691°N 75.8152°W / 40.8691 ; -75.8152 ( The Grotto-Our Lady of Lourdes Shrine ),Nesquehoning
5,Lansford Historic District,"September 4 , 2012 ( # 12000605 )","Roughly bounded by Snyder Avenue , Cortright , East , and Water Streets 40°49′53″N 75°53′00″W / 40.831389°N 75.883333°W / 40.831389 ; -75.883333 ( Lansford Historic District )",Lansford
6,Little Gap Covered Bridge,"December 1 , 1980 ( # 80004294 )",South of Little Gap on Township 376 40°49′52″N 75°31′22″W / 40.831111°N 75.522778°W / 40.831111 ; -75.522778 ( Little Gap Covered Bridge ),Lower Towamensing Township
7,Mauch Chunk Switchback Railway,"June 3 , 1976 ( # 76001616 )",Between Ludlow Street in Summit Hill and F.A.P . 209 in Jim Thorpe 40°50′58″N 75°47′46″W / 40.849444°N 75.796111°W / 40.849444 ; -75.796111 ( Mauch Chunk Switchback Railway ),"Jim Thorpe , Nesquehoning , and Summit Hill"
8,Nesquehoning High School,"November 21 , 2003 ( # 03001187 )",120-124 East Catawissa Street 40°51′55″N 75°48′35″W / 40.865278°N 75.809722°W / 40.865278 ; -75.809722 ( Nesquehoning High School ),Nesquehoning
9,Old Mauch Chunk Historic District,"November 10 , 1977 ( # 77001134 )","Broadway , Susquehanna , Race , and High Streets 40°51′44″N 75°44′35″W / 40.862222°N 75.743056°W / 40.862222 ; -75.743056 ( Old Mauch Chunk Historic District )",Jim Thorpe
10,Asa Packer Mansion,"December 30 , 1974 ( # 74001765 )",Packer Road 40°51′50″N 75°44′16″W / 40.863889°N 75.737778°W / 40.863889 ; -75.737778 ( Asa Packer Mansion ),Jim Thorpe
11,Harry Packer Mansion,"November 20 , 1974 ( # 74001766 )",Packer Road 40°51′53″N 75°44′17″W / 40.864722°N 75.738056°W / 40.864722 ; -75.738056 ( Harry Packer Mansion ),Jim Thorpe
12,Palmerton Historic District,"January 19 , 2018 ( # 13000743 )","Roughly bounded by Ave. A , Harvard Ave. , 8th & Tomb Sts . 40°48′16″N 75°36′32″W / 40.804410°N 75.608971°W / 40.804410 ; -75.608971 ( Palmerton Historic District )",Palmerton
13,St. Mark 's Episcopal Church,"July 26 , 1977 ( # 77001135 )",Race and Susquehanna Streets 40°51′46″N 75°44′21″W / 40.862778°N 75.739167°W / 40.862778 ; -75.739167 ( St. Mark 's Episcopal Church ),Jim Thorpe
14,Summit Hill High School,"February 16 , 2001 ( # 01000138 )",124 West Hazard Street 40°49′34″N 75°52′29″W / 40.826111°N 75.874722°W / 40.826111 ; -75.874722 ( Summit Hill High School ),Summit Hill
