Pos,No,Driver,Constructor,Lap,Gap
1,1,Michael Schumacher,Ferrari,1:32.484,-
2,6,Juan Pablo Montoya,Williams - BMW,1:33.184,+0.700
3,5,Ralf Schumacher,Williams - BMW,1:33.297,+0.813
4,2,Rubens Barrichello,Ferrari,1:33.323,+0.839
5,3,Mika Häkkinen,McLaren - Mercedes,1:33.662,+1.178
6,7,Giancarlo Fisichella,Benetton - Renault,1:33.830,+1.346
7,4,David Coulthard,McLaren - Mercedes,1:33.916,+1.432
8,11,Jarno Trulli,Jordan - Honda,1:34.002,+1.518
9,8,Jenson Button,Benetton - Renault,1:34.375,+1.891
10,16,Nick Heidfeld,Sauber - Petronas,1:34.386,+1.902
11,12,Jean Alesi,Jordan - Honda,1:34.420,+1.936
12,17,Kimi Räikkönen,Sauber - Petronas,1:34.581,+2.097
13,18,Eddie Irvine,Jaguar - Cosworth,1:34.851,+2.367
14,10,Jacques Villeneuve,BAR - Honda,1:35.109,+2.625
15,22,Heinz-Harald Frentzen,Prost - Acer,1:35.132,+2.648
16,19,Pedro de la Rosa,Jaguar - Cosworth,1:35.639,+3.155
17,9,Olivier Panis,BAR - Honda,1:35.766,+3.282
18,21,Fernando Alonso,Minardi - European,1:36.410,+3.926
19,23,Tomáš Enge,Prost - Acer,1:36.446,+3.962
20,15,Enrique Bernoldi,Arrows - Asiatech,1:36.885,+4.401
