Name,Party,Riding
Ted Adel,Liberal,Copperbelt North
Brad Cathers,Yukon Party,Lake Laberge
Nils Clarke,Liberal,Riverdale North
Jeanie Dendys,Liberal,Mountainview
Pauline Frost,Liberal,Vuntut Gwitchin
Paolo Gallina,Liberal,Porter Creek Centre
Elizabeth Hanson,New Democratic,Whitehorse Centre
Stacey Hassard,Yukon Party,Pelly-Nisutlin
Don Hutton,Liberal,Mayo-Tatchun
Wade Istchenko,Yukon Party,Kluane
Scott Kent,Yukon Party,Copperbelt South
Patti McLeod,Yukon Party,Watson Lake
Tracy-Anne McPhee,Liberal,Riverdale South
Richard Mostyn,Liberal,Whitehorse West
Ranj Pillai,Liberal,Porter Creek South
Sandy Silver,Liberal,Klondike
John Streicker,Liberal,Mount Lorne-Southern Lakes
Geraldine Van Bibber,Yukon Party,Porter Creek North
Kate White,New Democratic,Takhini-Kopper King
