School,2000 Conference,2001 Conference
Arkansas State Indians,Big West,Sun Belt
Boise State Broncos,Big West,WAC
Idaho Vandals,Big West,Sun Belt
Louisiana-Lafayette Ragin ' Cajuns,I-A Independent,Sun Belt
Louisiana-Monroe Warhawks,I-A Independent,Sun Belt
Louisiana Tech Bulldogs,I-A Independent,WAC
Middle Tennessee Blue Raiders,I-A Independent,Sun Belt
New Mexico State Aggies,Big West,Sun Belt
North Texas Mean Green,Big West,Sun Belt
TCU Horned Frogs,WAC,Conference USA
Troy State Trojans,I-AA Independent,I-A Independent
Utah State Aggies,Big West,I-A Independent
