Team,Location,Stadium,Capacity
Alavés,Vitoria-Gasteiz,Mendizorrotza,"19,840"
Athletic Bilbao,Bilbao,San Mamés,"53,332"
Atlético Madrid,Madrid,Wanda Metropolitano,"68,000"
Barcelona,Barcelona,Camp Nou,"99,354"
Celta Vigo,Vigo,Abanca-Balaídos,"29,000"
Eibar,Eibar,Ipurua,"7,083"
Espanyol,Cornellà de Llobregat,RCDE Stadium,"40,000"
Getafe,Getafe,Coliseum Alfonso Pérez,"17,000"
Granada,Granada,Nuevo Los Cármenes,"19,336"
Leganés,Leganés,Butarque,"12,450"
Levante,Valencia,Ciutat de València,"25,354"
Mallorca,Palma,Son Moix,"24,262"
Osasuna,Pamplona,El Sadar,"17,286"
Real Betis,Seville,Benito Villamarín,"60,720"
Real Madrid,Madrid,Santiago Bernabéu,"81,044"
Real Sociedad,San Sebastián,Anoeta,"39,500"
Sevilla,Seville,Ramón Sánchez Pizjuán,"43,883"
Valencia,Valencia,Mestalla,"50,000"
Valladolid,Valladolid,José Zorrilla,"26,512"
Villarreal,Villarreal,Estadio de la Cerámica,"23,500"
