Location,Date,Sculptor
Aberdeen Queen 's Cross,1893,Charles Bell Birch
Aberdeen Aberdeen 's Town House . Originally on the corner of St. Nicholas and Union Streets,1866,Alexander Brodie
Balmoral Balmoral Estate,1887,
Dundee Albert Square,1899,Harry Bates
Edinburgh Royal Scottish Academy,1844,Sir John Steell
Leith Foot of Leith Walk,1907,John Stephenson Rhind
Glasgow Glasgow Royal Infirmary,1897-1914,Albert Hodge
Glasgow George Square,1854,Baron Marochetti
"Glasgow Doulton Fountain , Glasgow Green",1890,
Paisley Dunn Square,1901,Francis John Williamson
