Church name,Address,Community
Holy Angels Church of the Deaf,4433 South Santa Fe Ave. 34°00′10″N 118°13′50″W / 34.00278°N 118.23056°W / 34.00278 ; -118.23056 ( Holy Angels Church of the Deaf ),Vernon
Our Lady of Perpetual Help,10727 S. Downey Ave. 33°56′39″N 118°07′50″W / 33.94417°N 118.13056°W / 33.94417 ; -118.13056 ( Our Lady of Perpetual Help ),Downey
Our Lady of the Rosary,14815 S. Paramount Blvd . 33°53′55″N 118°09′37″W / 33.89861°N 118.16028°W / 33.89861 ; -118.16028 ( Our Lady of the Rosary ),Paramount
Our Lady of Victory,519 E. Palmer St. 33°53′54″N 118°13′03″W / 33.89833°N 118.21750°W / 33.89833 ; -118.21750 ( Our Lady of Victory ),Compton
Sagrado Corazon,1720 N. Culver Ave. 33°54′28″N 118°13′41″W / 33.90778°N 118.22806°W / 33.90778 ; -118.22806 ( Sagrado Corazon ),Compton
Sagrado Corazon y Santa Maria Guadalupe,4239 Clara St. 33°58′00″N 118°11′35″W / 33.96667°N 118.19306°W / 33.96667 ; -118.19306 ( Sagrado Corazon y Santa Maria Guadalupe ),Cudahy
San Miguel,2214 E. 108th St. 33°56′14″N 118°13′56″W / 33.93722°N 118.23222°W / 33.93722 ; -118.23222 ( San Miguel ),Los Angeles ( Watts )
St. Albert the Great,804 E. Compton Blvd . 33°53′45″N 118°12′52″W / 33.89583°N 118.21444°W / 33.89583 ; -118.21444 ( St. Albert the Great ),Rancho Dominguez
St. Aloysius Gonzaga,7814 Crockett Blvd . 33°58′05″N 118°14′11″W / 33.96806°N 118.23639°W / 33.96806 ; -118.23639 ( St. Aloysius Gonzaga ),Florence ( Unincorporated Los Angeles )
St. Bernard,9647 E. Beach St. 33°52′37″N 118°08′39″W / 33.87694°N 118.14417°W / 33.87694 ; -118.14417 ( St. Bernard ),Bellflower
St. Dominic Savio,13400 Bellflower Blvd . 33°52′08″N 118°07′30″W / 33.86889°N 118.12500°W / 33.86889 ; -118.12500 ( St. Dominic Savio ),Bellflower
St. Emydius,10900 California Ave. 33°56′01″N 118°12′29″W / 33.93361°N 118.20806°W / 33.93361 ; -118.20806 ( St. Emydius ),Lynwood
St. Philip Neri,4311 Olanda St. 33°54′30″N 118°11′39″W / 33.90833°N 118.19417°W / 33.90833 ; -118.19417 ( St. Philip Neri ),Lynwood
St. Gertrude,7025 Garfield Ave. 33°58′03″N 118°09′03″W / 33.96750°N 118.15083°W / 33.96750 ; -118.15083 ( St. Gertrude ),Bell Gardens
St. Helen,8912 South Gate Ave. 33°57′16″N 118°12′51″W / 33.95444°N 118.21417°W / 33.95444 ; -118.21417 ( St. Helen ),South Gate
St. Martha,6019 Stafford Ave. 33°59′11″N 118°13′17″W / 33.98639°N 118.22139°W / 33.98639 ; -118.22139 ( St. Martha ),Huntington Park
St. Matthias,7125 Mission Pl . 33°58′24″N 118°12′45″W / 33.97333°N 118.21250°W / 33.97333 ; -118.21250 ( St. Matthias ),Huntington Park
St. Raymond,12348 Paramount Blvd . 33°55′37″N 118°08′55″W / 33.92694°N 118.14861°W / 33.92694 ; -118.14861 ( St. Raymond ),Downey
St. Rose of Lima,4450 East 60th St. 33°59′07″N 118°11′11″W / 33.98528°N 118.18639°W / 33.98528 ; -118.18639 ( St. Rose of Lima ),Maywood
