Name,Nation,International career,Appearances,Goals
Archie Lang,Scotland,1879-1880,1,0
Joe Lindsay,Scotland,1879-1886,8,6
Peter Miller,Scotland,1881-1883,3,0
James McAulay,Scotland,1881-1887,9,1
William McKinnon,Scotland,1882-1884,4,0
Michael Paton,Scotland,1882-1886,5,0
Robert 'Sparrow ' Brown,Scotland,1883-1884,2,0
Robert 'Plumber ' Brown,Scotland,1884-1885,1,0
Leitch Keir,Scotland,1884-1888,5,1
Ralph Aitken,Scotland,1885-1888,2,1
Tom McMillan,Scotland,1886-1887,1,0
William Robertson,Scotland,1886-1887,2,1
Duncan Stewart,Scotland,1887-1888,1,0
Geordie Dewar,Scotland,1887-1889,2,1
John Bell,Scotland,1889-1892,2,1
John McLeod,Scotland,1889-1893,4,0
John Taylor,Scotland,1891-1894,3,1
William Thomson,Scotland,1891-1898,4,1
Harry Chatton,Ireland,1931-1932,1,0
Dimitris Froxylias,Cyprus,2017-2018,1,0
