,Name on the Register,Date listed,Location,City or town
1,Cassidy Mill,"December 6 , 1978 ( # 78001818 )",Southeast of Cleveland off State Road 3 35°59′08″N 105°21′29″W / 35.985556°N 105.358056°W / 35.985556 ; -105.358056 ( Cassidy Mill ),Cleveland
2,Daniel Cassidy and Sons General Merchandise Store,"August 1 , 1979 ( # 79001541 )",State Road 3 35°59′41″N 105°22′16″W / 35.994722°N 105.371111°W / 35.994722 ; -105.371111 ( Daniel Cassidy and Sons General Merchandise Store ),Cleveland
3,Daniel Cassidy House,"July 27 , 1990 ( # 90001062 )",Address Restricted,Mora
4,James J. Cassidy House,"September 1 , 2005 ( # 05000943 )",Address Restricted,Cleveland
5,Fort Union National Monument,"October 15 , 1966 ( # 66000044 )",9 miles north of Watrous on State Road 477 35°54′26″N 105°01′06″W / 35.907222°N 105.018333°W / 35.907222 ; -105.018333 ( Fort Union National Monument ),Watrous
6,Garcia House,"December 24 , 1990 ( # 90001063 )",Address Restricted,Mora
7,Gordon-Sanchez Mill,"July 27 , 1990 ( # 90001061 )",Address Restricted,Mora
8,Guadalupita-Coyote Rural Historic District,"June 5 , 2017 ( # 100001034 )","Village of Guadalupita , parts of Guadalupita and Williams canyons , and the Coyote Creek valley between Guadalupita and Lucero 36°08′17″N 105°14′17″W / 36.138°N 105.238°W / 36.138 ; -105.238 ( Guadalupita-Coyote Rural Historic District )",Guadalupita
9,La Cueva Historic District,"May 25 , 1973 ( # 73001144 )",6 miles southeast of Mora at the junction of State Roads 3 and 21 35°56′34″N 105°14′51″W / 35.942778°N 105.2475°W / 35.942778 ; -105.2475 ( La Cueva Historic District ),Mora
10,Ledoux Rural Historic District,"December 24 , 1990 ( # 90001057 )",Address Restricted,Ledoux
11,Mora Historic District,"December 24 , 1990 ( # 90001056 )",Address Restricted,Mora
12,North Carmen Historic District,"December 24 , 1990 ( # 90001058 )",Address Restricted,Ledoux
13,Ocate Creek Crossing and the Santa Fe Trail-Mora County Trail Segments,"April 21 , 1994 ( # 94000329 )",1.75 miles north of the junction of State Road 127 and the road to Mora Ranch 36°09′02″N 104°54′03″W / 36.150556°N 104.900833°W / 36.150556 ; -104.900833 ( Ocate Creek Crossing and the Santa Fe Trail-Mora County Trail Segments ),Ocate
14,Jose Olquin Barn-Corral Complex,"December 24 , 1990 ( # 90001060 )",Address Restricted,Mora
15,Santa Clara Hotel,"May 16 , 1991 ( # 91000602 )",111 Railroad Ave. 36°00′30″N 104°42′22″W / 36.008333°N 104.706111°W / 36.008333 ; -104.706111 ( Santa Clara Hotel ),Wagon Mound
16,St. Vrain 's Mill,"August 28 , 1973 ( # 73001143 )",On State Road 38 35°58′32″N 105°19′44″W / 35.975556°N 105.328889°W / 35.975556 ; -105.328889 ( St. Vrain 's Mill ),Mora
17,J. P. Strong Store,"July 27 , 1979 ( # 79001542 )",State Roads 120 and 442 36°10′31″N 105°02′55″W / 36.175315°N 105.048666°W / 36.175315 ; -105.048666 ( J. P. Strong Store ),Ocate
18,Tipton-Black Willow Ranch Historic District,"June 29 , 2001 ( # 00001287 )",3 miles east of Watrous 35°47′28″N 104°55′34″W / 35.791111°N 104.926111°W / 35.791111 ; -104.926111 ( Tipton-Black Willow Ranch Historic District ),Watrous
19,Desiderio Valdez House,"December 24 , 1990 ( # 90001059 )",Address Restricted,Cleveland
20,Narciso Valdez House,"July 11 , 1980 ( # 80004484 )",State Road 120 36°10′34″N 105°02′55″E / 36.176116°N 105.048482°E / 36.176116 ; 105.048482 ( Narciso Valdez House ),Ocate
