Title,Date,Developer,Region ( s )
Harvest Moon : Tree of Tranquility,June 2007,Marvelous Entertainment,JP / NA / EU / AUS
Mahō Sensei Negima ! ? Neo-Pactio Fight ! !,June 2007,Shade,JP
No More Heroes,December 2007,Grasshopper Manufacture,JP / EU / AUS
Katekyo Hitman Reborn ! Dream Hyper Battle !,January 2008,Shade,JP
Harvest Moon : Magical Melody,March 2008,Marvelous Entertainment,EU / AUS
Bomberman Land,March 2008,racjin,EU / AUS
Super Swing Golf,August 2008,Tecmo,EU / AUS
Baroque,August 2008,Sting Entertainment,JP / NA / EU
Rune Factory Frontier,November 2008,Neverland,JP / NA / EU
Little King 's Story,July 2009,"Town Factory , Cing",JP / NA / EU / AUS
Muramasa : The Demon Blade,September 2009,Vanillaware,JP / NA / EU
No More Heroes 2 : Desperate Struggle,January 2010,Grasshopper Manufacture,JP / NA / EU
Valhalla Knights : Eldar Saga,September 2009,K2 LLC,JP / NA
Arc Rise Fantasia,June 2010,imageepoch,JP / NA
Rune Factory Oceans,February 2011,Neverland,JP / NA / EU
Ikenie no Yoru,March 2011,Marvelous Entertainment,JP
