Rank,Name,Nation
1,Derrick Delmore,United States
2,Sergei Davydov,Russia
3,Li Yunfei,China
4,Ilia Klimkin,Russia
5,Ivan Dinev,Bulgaria
6,Hiraike Taijin,Japan
7,Li Chengjiang,China
8,Juraj Sviatko,Slovakia
9,Vitali Danilchenko,Ukraine
10,Lukáš Rakowski,Czech Republic
11,Emanuel Sandhu,Canada
12,Ben Ferreira,Canada
13,Alan Street,United Kingdom
14,Alexei Kozlov,Estonia
15,Matthew Davies,United Kingdom
16,David Jäschke,Germany
17,Vincent Restencourt,France
18,Lee Kyu-Hyun,South Korea
19,Alexei Gruber,Israel
20,Angelo Dolfini,Italy
