Year,Title,Role,Director,Studio
1931,Bad Sister,Laura Madison,Hobart Henley,Universal
1931,Seed,Margaret Carter,John M. Stahl,Universal
1931,Waterloo Bridge,Janet Cronin,James Whale,Universal
1931,Way Back Home,Mary Lucy,William A. Seiter,RKO
1932,The Menace,Peggy Lowell,Roy William Neill,Columbia
1932,Hell 's House,Peggy Gardner,Howard Higgin,B.F. Zeidman Productions Ltd
1932,The Man Who Played God,Grace Blair,John G. Adolfi,Warner Bros
1932,So Big !,Miss Dallas O'Mara,William A. Wellman,Warner Bros
1932,The Rich Are Always with Us,Malbro,Alfred E. Green,First National
1932,The Dark Horse,Kay Russell,Alfred E. Green,Warner Bros
1932,The Cabin in the Cotton,Madge Norwood,Michael Curtiz,First National
1932,Three on a Match,Ruth Wescott,Mervyn LeRoy,Warner Bros
1932,"20,000 Years in Sing Sing",Fay Wilson,Michael Curtiz,Warner Bros
1933,Parachute Jumper,Patricia Alabama Brent,Alfred E. Green,Warner Bros
1933,The Working Man,Jenny Harland,John G. Adolfi,Warner Bros
1933,Ex-Lady,Helen Bauer,Robert Florey,Warner Bros
1933,Bureau of Missing Persons,Norma Roberts,Roy Del Ruth,First National
1934,The Big Shakedown,Norma Nelson,John Francis Dillon,First National
1934,Fashions of 1934,Lynn Mason,William Dieterle,Warner Bros
1934,Jimmy the Gent,Miss Joan Martin,Michael Curtiz,Warner Bros
