,Name on the Register,Date listed,Location,City or town
1,Willa Cather Birthplace,"November 16 , 1978 ( # 78003017 )",Northwest of Gore on U.S. Route 50 39°16′04″N 78°19′26″W / 39.267778°N 78.323889°W / 39.267778 ; -78.323889 ( Willa Cather Birthplace ),Gore
2,Cedar Creek Battlefield and Belle Grove,"August 11 , 1969 ( # 69000243 )",On Interstate 81 between Middletown and Strasburg 39°01′15″N 78°18′14″W / 39.020833°N 78.303889°W / 39.020833 ; -78.303889 ( Cedar Creek Battlefield and Belle Grove ),Middletown
3,Cleridge,"September 8 , 2011 ( # 11000653 )",1649 Old Charles Town Rd . 39°13′29″N 78°03′39″W / 39.224722°N 78.060972°W / 39.224722 ; -78.060972 ( Cleridge ),Stephenson
4,Crumley-Lynn-Lodge House,"September 6 , 2006 ( # 06000806 )",3641 Apple Pie Ridge Rd . 39°18′09″N 78°08′32″W / 39.302500°N 78.142222°W / 39.302500 ; -78.142222 ( Crumley-Lynn-Lodge House ),White Hall
5,Fort Collier,"April 28 , 2006 ( # 06000356 )",1 mile ( 1.6 km ) mile north of Winchester on U.S. Route 11 39°12′05″N 78°09′13″W / 39.201389°N 78.153611°W / 39.201389 ; -78.153611 ( Fort Collier ),Winchester
6,Fort Colvin,"May 8 , 2007 ( # 07000416 )",104 Stonebrook Rd . 39°08′27″N 78°13′31″W / 39.140833°N 78.225278°W / 39.140833 ; -78.225278 ( Fort Colvin ),Winchester
7,Frederick County Poor Farm,"August 12 , 1993 ( # 93000823 )","Eastern side of Poorhouse Rd. , south of its junction with Indian Hollow Rd . 39°12′44″N 78°13′24″W / 39.212222°N 78.223333°W / 39.212222 ; -78.223333 ( Frederick County Poor Farm )",Round Hill
8,High Banks,"March 1 , 2011 ( # 11000066 )",423 High Banks Rd . 39°12′22″N 78°04′13″W / 39.206111°N 78.070278°W / 39.206111 ; -78.070278 ( High Banks ),Stephenson
9,John Hite House,"July 8 , 1982 ( # 82004558 )",U.S. Route 11 39°06′35″N 78°12′14″W / 39.109663°N 78.203857°W / 39.109663 ; -78.203857 ( John Hite House ),Bartonsville
10,Homespun,"December 31 , 2002 ( # 02001671 )",949 Cedar Creek Grade 39°09′46″N 78°11′40″W / 39.162778°N 78.194444°W / 39.162778 ; -78.194444 ( Homespun ),Winchester
11,Hopewell Friends Meetinghouse,"March 28 , 1980 ( # 80004190 )",West of Clear Brook off Hopewell Rd . 39°15′23″N 78°06′54″W / 39.256250°N 78.115000°W / 39.256250 ; -78.115000 ( Hopewell Friends Meetinghouse ),Clear Brook
12,Long Meadow,"July 27 , 2005 ( # 05000769 )",1946 Jones Rd . 39°09′02″N 78°13′47″W / 39.150556°N 78.229722°W / 39.150556 ; -78.229722 ( Long Meadow ),Winchester
13,Middletown Historic District,"June 23 , 2003 ( # 03000566 )","Bounded by Main St. , Church St. , Senseney Ave. , and 1st , 4th , 6th , and 3rd Sts . 39°01′42″N 78°16′45″W / 39.028333°N 78.279167°W / 39.028333 ; -78.279167 ( Middletown Historic District )",Middletown
14,Millbank,"May 21 , 2014 ( # 14000233 )",3100 Berryville Pike 39°10′45″N 78°04′37″W / 39.179167°N 78.076944°W / 39.179167 ; -78.076944 ( Millbank ),Winchester
15,Monte Vista,"November 16 , 1987 ( # 87002018 )",8100 U.S. Route 11 39°01′13″N 78°17′20″W / 39.020278°N 78.288889°W / 39.020278 ; -78.288889 ( Monte Vista ),Middletown
16,Newtown-Stephensburg Historic District,"August 18 , 1992 ( # 92001033 )","Roughly Main St. from the town limits to Farm View Dr. , and adjacent areas of Mulberry and German Sts . 39°05′02″N 78°13′06″W / 39.083889°N 78.218333°W / 39.083889 ; -78.218333 ( Newtown-Stephensburg Historic District )",Stephens City
17,Old Forge Farm,"February 11 , 2004 ( # 04000036 )",7326 Middle Rd . 39°04′43″N 78°19′32″W / 39.078611°N 78.325556°W / 39.078611 ; -78.325556 ( Old Forge Farm ),Middletown
18,Old Stone Church,"July 5 , 2001 ( # 01000689 )",Approximately 1 mile ( 1.6 km ) west of the junction of Green Spring and Apple Pie Ridge Rds . 39°18′05″N 78°10′04″W / 39.301250°N 78.167778°W / 39.301250 ; -78.167778 ( Old Stone Church ),White Hall
19,Opequon Historic District,"May 16 , 2002 ( # 02000515 )",Junction of Miller Rd . and Cedar Creek Grade 39°09′28″N 78°14′50″W / 39.157778°N 78.247222°W / 39.157778 ; -78.247222 ( Opequon Historic District ),Winchester
20,Opequon Presbyterian Church,"February 16 , 2001 ( # 01000145 )",217 Opequon Church Ln . 39°08′22″N 78°11′43″W / 39.139583°N 78.195278°W / 39.139583 ; -78.195278 ( Opequon Presbyterian Church ),Winchester
