Round,Date,Venue,Opponent,Score,Attendance,Hajduk Scorers,Report
R1,23 Sep,H,RNK Split,0 - 3,500,,HRnogomet.com
R1,7 Oct,A,RNK Split,4 - 0,"5,000","Erceg ( 2 ) , Andrijašević , Jeličić",HRnogomet.com
R2,18 Nov,H,Kraljevica,1 - 0,500,Miše,HRnogomet.com
R2,6 Dec,A,Kraljevica,4 - 0,"2,000","Bilić ( 2 ) , Erceg ( 2 )",HRnogomet.com
QF,24 Mar,H,Osijek,2 - 0,"2,000","Bilić , Miše",HRnogomet.com
QF,7 Apr,A,Osijek,3 - 0,"6,000","Vladislavić , Erceg , Mornar",HRnogomet.com
SF,21 Apr,H,Zadar,2 - 0,"5,000","Balajić , Rapaić",HRnogomet.com
SF,5 May,AR,Zadar,2 - 2,"1,000","Novaković , Miše",HRnogomet.com
Final,19 May,H,Croatia Zagreb,4 - 1,"45,000","Kozniku ( 2 ) , Jeličić , Novaković",HRnogomet.com
Final,2 Jun,A,Croatia Zagreb,1 - 2,"45,000",Kozniku,HRnogomet.com
