Title,Year,Genre,Notes
Golf Mad,1915,Comedy,Silent film about a man who gets the golfing craze and wreaks havoc with clubs
Golf,1922,Comedy,"A golfer digs holes in his floor and plays indoors , smashing mirrors and vases"
West of Broadway,1926,Comedy,Silent film about Wyoming rancher who sets out to attract tourists to his golf club/resort
Spring Fever,1927,Comedy,Silent film about a golfer who hopes to marry a rich girl ( Joan Crawford )
Love in the Rough,1930,Musical,"A sound remake of Spring Fever , with Robert Montgomery and songs"
The Golf Specialist,1930,Comedy,W. C. Fields short subject in which he gives lessons on the game
Part Time Wife,1930,Romance,A man who loses his golf-loving spouse learns the game so he can play her
Follow Thru,1930,Musical,A club champion competes with her rival over their handsome instructor
Follow the Sun,1951,Biographical,"Story of success and adversity of Ben Hogan , played by Glenn Ford"
Pat and Mike,1952,Comedy,Spencer Tracy as the new trainer of a great female athlete ( Katharine Hepburn )
The Caddy,1953,Comedy,Martin and Lewis golf comedy
Banning,1967,Drama,A PGA pro ( Robert Wagner ) banned for cheating gets into debt and a dangerous match
Once You Kiss a Stranger,1970,Thriller,A pro golfer is menaced by a deranged woman who murders his rival
Babe,1975,Biographical,"TV film on life of Babe Didrikson Zaharias , starring Susan Clark and Alex Karras"
Caddyshack,1980,Comedy,"Manic antics at Bushwood Country Club , starring Bill Murray , Chevy Chase and Rodney Dangerfield"
Dorf on Golf,1987,Comedy,Direct-to-video short film . First entry in Dorf series with Tim Conway
Caddyshack II,1988,Comedy,"Sequel to 1980 hit , with Jackie Mason as an insulted guest who decides to buy Bushwood"
Dead Solid Perfect,1988,Drama,"Made for TV , based on Dan Jenkins novel"
Dorf 's Golf Bible,1988,Comedy,Direct-to-video short film ; second in the Dorf series
Den ofrivillige golfaren,1991,Comedy,Swedish film
