Type,Symbol,Thai
National emblem,Emblem of Thailand,ตราพระครุฑพ่าห์
National flag,Flag of Thailand,ธงไตรรงค์
National anthem,Thai national anthem,เพลงชาติไทย
National currency,Thai baht,บาทไทย
National animal,Thai elephant ( Elephas maximus ),ช้างไทย
National aquatic animal,Siamese fighting fish ( Betta splendens ),ปลากัดสยาม
National bird,Siamese fireback ( Lophura diardi ),ไก่ฟ้าพญาลอ
National flower,Golden shower flower ( Cassia fistula Linn . ),ดอกราชพฤกษ์
National epic,Ramakien,รามเกียรติ์
National architecture,Sala Thai,ศาลาไทย
