Year,Horse,Trainer,Owner
1970,Hoist The Flag,Sidney Watters Jr,Jane Forbes Clark
1969,Silent Screen,J. Bowes Bond,Elberon Farm
1968,Top Knight,Raymond Metcalf,Steven B. Wilson
1967,Vitriolic,Edward A. Neloy,Ogden Phipps
1966,Successor,Edward A. Neloy,Wheatley Stable
1965,Buckpasser,William C. Winfrey,Ogden Phipps
1964,Bold Lad,William C. Winfrey,Wheatley Stable
1963,Hurry to Market ( TRA ) ( DRF ),David Erb,Roger W. Wilson & Mrs. T. P. Hull Jr
1963,Raise a Native ( TSD ),Burley Parke,Louis Wolfson
1962,Never Bend,Woody Stephens,Cain Hoy Stable
1961,Crimson Satan,Gordon R. Potter,Peter W. Salmen Sr
1960,Hail to Reason,Hirsch Jacobs,Hirsch Jacobs & Harbor View Farm
1959,Warfare,Hack Ross,Clifford H. Jones
1958,First Landing,Casey Hayes,Christopher Chenery
1957,Nadir ( DRF ),Moody Jolley,Claiborne Farm
1957,Jewel 's Reward ( TRA ) ( TSD ),Ivan H. Parke,Maine Chance Farm
1956,Barbizon,Horace A. Jones,Lucille P. Markey
1955,Needles,Hugh L. Fontaine,Jack Dudley & Bonnie Heath
1954,Nashua,James E. Fitzsimmons,Belair Stud
1953,Porterhouse ( TRA ) ( DRF ),Charles E. Whittingham,Liz Whitney Tippett
