Ship,Sunk date,Notes
SS Alpena,15 October 1880,A sidewheel steamer that capsized in a storm
Alvin Clark,19 June 1864,"A schooner that sank off the shore of Chambers Island . It was raised in 1969 and taken to Menominee , where it became a tourist attraction . However , it quickly deteriorated , and was demolished in 1994 to make way for a parking lot"
America,28 September 1880,A wooden schooner that struck another vessel 's scow line
SS Anna C. Minch,11 November 1940,A cargo carrier that broke in two and sank during the Armistice Day Blizzard
SS Appomattox,2 November 1905,A bulk cargo steamship that ran aground in fog
SS Australasia,18 November 1896,A wooden steamship that sank after burning to a total loss
SS Carl D. Bradley,18 November 1958,A self-unloading Great Lakes freighter caught in a vicious storm on Lake Michigan
SS Chicora,21 January 1895,A steamer that went missing in Lake Michigan
Christina Nilsson,23 October 1884,A schooner that sank in a blizzard off Baileys Harbor
City of Muskegon,28 October 1919,"A paddlewheel steamer that struck a pier in a gale at Muskegon , Michigan , sinking in four minutes"
Continental,1904,A bulk carrier that sank off the coast of Two Rivers
Daniel Lyons,17 October 1878,A schooner that collided with the Kate Gillett off Algoma
Dreadnaught,"September , 1886","Schooner which was sunk after collision with the tug Cheney off Pt , Au Gres , Saginaw Bay"
SS Eber Ward,20 April 1909,A cargo ship that foundered in heavy ice west of Mackinaw City
Erie L. Hackley,3 October 1903,"A cargo liner that sank in a storm near Green Island , Wisconsin"
SS Eastland,24 July 1915,"Rolled over in the Chicago River in Chicago , Illinois . A total of 848 passengers and crew were killed -- the largest loss of life in a single shipwreck on the Great Lakes"
Fleetwing,26 September 1888,A schooner that ran aground off the coast of Liberty Grove
SS Francisco Morazan,29 November 1960,Grounded and became a total loss in 1960 off the south shore of South Manitou Island . She ran over the wreck of the bulk freighter SS Walter L Frost
Frank O'Connor,3 October 1919,A bulk carrier that caught fire and sank off the coast of North Bay
Gallinipper,1851,A schooner that sank in a gale off the coast of Centerville
