Season,League champions ( number of titles ),League runners-up,Cup winners ( number of cups )
1980,Dynamos ( 7 ),Black Aces,CAPS United ( 1 )
1981,Dynamos ( 8 ),Rio Tinto,CAPS United ( 2 )
1982,Dynamos ( 9 ),,CAPS United ( 3 )
1983,Dynamos ( 10 ),Rio Tinto,CAPS United ( 4 )
1984,Black Rhinos ( 1 ),Arcadia United,Black Rhinos ( 1 )
1985,Dynamos ( 11 ),Highlanders,Dynamos ( 2 )
1986,Dynamos ( 12 ),CAPS United,Dynamos ( 3 )
1987,Black Rhinos ( 2 ),Dynamos,Zimbabwe Saints ( 3 )
1988,Zimbabwe Saints ( 2 ),Dynamos,Dynamos ( 4 )
1989,Dynamos ( 13 ),Zimbabwe Saints,Dynamos ( 5 )
1990,Highlanders ( 1 ),CAPS United,Highlanders ( 1 )
1991,Dynamos ( 14 ),Black Rhinos,Wankie ( 3 )
1992,Black Aces ( 1 ),CAPS United,CAPS United ( 5 )
1993,Highlanders ( 2 ),CAPS United,Tanganda ( 1 )
1994,Dynamos ( 15 ),Highlanders,Blackpool ( 1 )
1995,Dynamos ( 16 ),Blackpool,Chapungu United ( 1 )
1996,CAPS United ( 2 ),Dynamos,Dynamos ( 6 )
1997,Dynamos ( 17 ),CAPS United,CAPS United ( 6 )
1998-99,Highlanders ( 3 ),Dynamos,CAPS United ( 7 )
2000,Highlanders ( 4 ),Amazulu,No cup held
