Event,Winner,Prize,Runner-up
"$ 2,000 Limit Hold'em",Farzad Bonyadi,"$ 429,940",Paul Scarim
"$ 1,500 Razz",Doyle Brunson,"$ 93,000",Ray Dehkharghani
"$ 1,500 Limit Omaha",Michael Shadkin,"$ 109,800",Jan Lundberg
"$ 1,500 Seven Card Stud",Kirk Morrison,"$ 148,185",Max Stern
"$ 1,500 Pot Limit Omaha w/Rebuys",Donnacha O'Dea,"$ 154,800",Johnny Chan
"$ 1,500 Seven Card Stud Split",Tommy Hufnagle,"$ 139,305",Don Holt
"$ 2,000 No Limit Hold'em",Jeff Ross,"$ 259,000",Layne Flack
"$ 2,000 Omaha Hi-Lo Split",Chau Giang,"$ 150,960",Carl Bailey
"$ 2,000 Pot Limit Hold'em",Daniel Negreanu,"$ 169,460",Dominic Bourke
"$ 2,500 Seven Card Stud",Artie Cobb,"$ 152,000",Helmut Koch
"$ 2,500 Pot Limit Omaha w/Rebuys",T. J. Cloutier,"$ 136,000",Doyle Brunson
"$ 2,500 Seven Card Stud Hi-Lo Split",Bill Gempel,"$ 120,000",Hershey Entin
"$ 3,000 Limit Hold'em",David Chiu,"$ 205,200",Mickey Seagle
"$ 3,000 Omaha Hi-Lo Split",Paul Rowe,"$ 133,200",James Van Alstyne
"$ 3,000 Pot Limit Hold'em",Steve Rydel,"$ 206,400",Dave Ulliott
"$ 5,000 No Limit Deuce to Seven Draw w/Rebuys",Erik Seidel,"$ 132,750",Lamar Wilkinson
"$ 3,000 No Limit Hold'em",Ken Buntjer,"$ 268,620",Gorden Hall
"$ 5,000 Seven Card Stud",Jan Chen,"$ 208,000",Don Barton
"$ 5,000 Limit Hold'em",Patrick Bruel,"$ 224,000",Robert Redman
"$ 1,000 Ladies ' Seven Card Stud",Mendy Commanda,"$ 40,000",Jerri Thomas
