Year,Title,Role
1978,King of the Gypsies,Unknown
1979,1941,Lydia Hedberg
1982,Fighting Back,Lisa D'Angelo
1985,Witness,Elaine
1986,Wise Guys,Wanda Valentini
1989,Driving Miss Daisy,Florine Werthan
1993,Family Prayers,Aunt Nan
1999,The 24 Hour Woman,Joan Marshall
1999,Summer of Sam,Helen
2000,State and Main,Sherry Bailey
2001,Heist,Betty Croft
2002,City by the Sea,Maggie
2013,Company,Joanne
2013,Parker,Ascension
2016,The Comedian,Flo Berkowitz
2019,Cliffs of Freedom,Yia-Yia
2019,Last Christmas,Joyce
