Title,Publisher,Release Date,CERO
Parodius : Tako wa Chikyū wo Sukū,Konami,"December 25 , 2013",A
Yumetairiku Adventure,Konami,"January 29 , 2014",A
Space Manbow,Konami,"February 19 , 2014",A
Majō Densetsu,Konami,"March 19 , 2014",A
Quarth,Konami,"April 23 , 2014",A
Yie-Gah-kōtei no Gyakushū : Yie Ar Kung-Fu 2,Konami,"May 21 , 2014",A
Road Fighter,Konami,"June 19 , 2014",A
Contra,Konami,"October 15 , 2014",A
Kekkyoku Nankyoku Daibōken : Antarctic Adventure,Konami,"November 19 , 2014",A
Akumajō Dracula,Konami,"December 17 , 2014",A
Yie Ar Kung-Fu,Konami,"January 14 , 2015",A
Ganbare Goemon ! Karakuri Dōchū,Konami,"February 25 , 2015",A
TwinBee,Konami,"March 18 , 2015",A
Gofer no Yabō : Episode II,Konami,"April 15 , 2015",A
Sky Jaguar,Konami,"May 20 , 2015",A
Circus Charlie,Konami,"June 24 , 2015",A
Magical Tree,Konami,"August 19 , 2015",A
Gradius,Konami,"September 30 , 2015",A
Hyper Sports 2,Konami,"October 28 , 2015",A
Konami 's Soccer,Konami,"November 25 , 2015",A
