Name,Swedish name,Location,Date,Condition
Råbelöv Castle,Råbelövs slott,Scania,1637,"Private residence , hotel"
Rånäs Manor,Rånäs slott,Uppland,1844,Hotel
Rinkesta Castle,Rinkesta slott,Södermanland,1775,Private residence
Rockelstad Castle,Rockelstad slott,Södermanland,1890,Hotel
Roma Abbey,Roma kloster,Gotland,1733,Museum
Rönneholm Castle,Rönneholms slott,Scania,1811,Private residence
Rosendal Castle,Rosendals slott,Scania,1615,Private residence
Rosendal Palace,Rosendals slott,Stockholm,1827,Museum
Rosersberg Palace,Rosersbergs slott,Stockholm,1638,Museum
Rössjöholm Castle,Rössjöholms slott,Scania,1735,Private residence
Runsa Castle,Runsa slott,Uppland,18th century,Private residence
Rydboholm Castle,Rydboholms slott,Uppland,1548,Private residence
Salnecke Castle,Salnecke slott,Uppland,1640,Private residence
Salsta Castle,Salsta slott,Uppland,1675,Museum
Sandemar Castle,Sandemar slott,Södermanland,1670,Private residence
Säfstaholm,Säfstaholms slott,Södermanland,1815,Museum
Sinclairsholm Castle,Sinclairsholm slott,Scania,1620,Private residence
Sjöö Castle,Sjöö slott,Uppland,1679,Private residence
Skabersjö Castle,Skabersjö slott,Scania,1782,Private residence
Skånelaholm Castle,Skånelaholm slott,Uppland,1891,Museum
