Community,Currency,Region,Target date,Notes
Economic and Monetary Community of Central Africa ( CEMAC ),Central African CFA franc,Africa,,Not yet functioning common market
West African Economic and Monetary Union ( UEMOA ),West African CFA franc,Africa,,Not yet functioning common market
Gulf Cooperation Council ( GCC ),Khaleeji,Middle East,,"Possibly gold backed , but postponed due to the financial crisis of 2007-2008"
East African Community ( EAC ),East African shilling,Africa,2015,To be used by the future East African Federation
Caribbean Single Market and Economy ( as part of the CARICOM ),,Latin America /Caribbean,2015,To supplement the OECS Eastern Caribbean Currency Union
Southern African Customs Union ( SACU ),South African Rand,Africa,2015,de facto for the CMA member when the SADC economic union is established
Southern African Development Community ( SADC ),South African Rand ( interim proposal ),Africa,2016,To supplement or succeed the CMA and Southern Africa Customs Union
South Asian Association for Regional Cooperation,,South Asia,2016,
Union of South American Nations ( UNASUR ),Latino,Latin America /Caribbean,2019,
Economic Community of Central African States ( ECCAS ),,Africa,,To supplement the Economic and Monetary Community of Central Africa ( CEMAC )
Economic Community of West African States ( ECOWAS ),,Africa,2020,To succeed UEMOA and WAMZ
African Economic Community,,Africa,2028,See African Monetary Union
Union State of Russia and Belarus,Russian ruble,Europe,,
Arab League,Arab Dinar,Arab states,,"Arab Dinar has been proposed ever since the creation of the Arab Monetary Fund , expected for serious plans of doing so , after the creation of the proposed Arab Union"
Eurasian Economic Union,Altyn,Eurasia,2025,"Kazakhstani President Nursultan Nazarbayev had first proposed , in 2009 , the creation of a common noncash currency called yevraz for the Eurasian Economic Community . It would have reportedly helped insulate the countries from the global economic crisis . In 2012 , the idea of the new joint currency found support from Vladimir Putin and Dmitry Medvedev and by 2014 proposals were drafted in Eurasian Commission documents for the establishment of a Eurasian Central Bank and a common currency to be called the altyn which is to be introduced by 2025"
