Book,Subject Area,Topic,Collection,Language
Rig Veda,"Hindu hymns about various gods , and references to historic events",Part 1 of the four part Hindu canon,Veda / Samhita,Sanskrit
Yajur Veda,Hindu sacrificial knowledge,Part 3 of the four part Hindu canon,Veda / Samhita,Sanskrit
Sama Veda,Hindu music and arts,Part 2 of the four part Hindu canon,Veda / Samhita,Sanskrit
Atharva Veda,"Hindu medicine , magic , sorcery",Part 4 of the four part Hindu canon,Veda / Samhita,Sanskrit
Taittiriya Shakha,,Recension of Yajur Veda,Shakha,Sanskrit
Shaunaka Shakha,,Recension of Atharva Veda,Shakha,Sanskrit
Paippalada Shakha,,Recension of Atharva Veda,Shakha,Sanskrit
Satapatha Brahmana,Hindu sacrificial knowledge,Commentary on Yajur Veda,Brahmana,Sanskrit
Aitareya Brahmana,Hindu vedic practices,Commentary on Rig Veda,Brahmana,Sanskrit
Kaushitaki Brahmana,,Commentary on Rig Veda,,Sanskrit
Taittiriya Brahmana,Hindu sacrificial knowledge,Commentary on Yajur Veda,Brahmana,Sanskrit
Samavidhana Brahmana,Hindu music and arts,Commentary on Sama Veda,Brahmana,Sanskrit
Arseya Brahmana,Hindu music and arts,Commentary on Sama Veda,Brahmana,Sanskrit
Devatadhyaya Brahmana,Hindu music and arts,Commentary on Sama Veda,Brahmana,Sanskrit
Shakdwipiya Brahmana,Hindu music and arts,Commentary on Sama Veda,Brahmana,Sanskrit
Tandyamaha Brahmana,Hindu music and arts,Commentary on Sama Veda,Brahmana,Sanskrit
Taittiriya Upanishad,,,Upanishad,Sanskrit
Maitri Upanishad,,,Upanishad,Sanskrit
