Year,Champion,Score,Runner-Up,Arena,City,Tournament MVP
1988,Arizona,93-67,Oregon State,McKale Center,"Tucson , Arizona","Sean Elliott , Arizona"
1989,Arizona,73-51,Stanford,Great Western Forum,"Inglewood , California","Sean Elliott , Arizona"
1990,Arizona,94-78,UCLA,University Activity Center,"Tempe , Arizona","Jud Buechler & Matt Muehlebach , Arizona"
2002,Arizona,81-71,USC,Staples Center,"Los Angeles , California","Luke Walton , Arizona"
2005,Washington,81-72,Arizona,Staples Center,"Los Angeles , California","Salim Stoudamire , Arizona"
2011,Washington,77-75,Arizona,Staples Center,"Los Angeles , California","Isaiah Thomas , Washington"
2012,Colorado,53-51,Arizona,Staples Center,"Los Angeles , California","Carlon Brown , Colorado"
2014,UCLA,75-71,Arizona,MGM Grand Garden Arena,"Paradise , Nevada","Kyle Anderson , UCLA"
2015,Arizona,80-52,Oregon,MGM Grand Garden Arena,"Paradise , Nevada","Brandon Ashley , Arizona"
2017,Arizona,83-80,Oregon,T-Mobile Arena,"Paradise , Nevada","Allonzo Trier , Arizona"
2018,Arizona,75-61,USC,T-Mobile Arena,"Paradise , Nevada","Deandre Ayton , Arizona"
