Player,Seasons,Seasons & Teams
Ichiro Suzuki,10,2001-2010 Seattle ( consecutive-years record )
Pete Rose,10,"1965-1966 , 1968-1970 , 1973 , 1975-1977 Cincinnati ; 1979 Philadelphia-NL"
Ty Cobb,9,"1907 , 1909 , 1911-1912 , 1915-1917 , 1922 , 1924 Detroit"
Paul Waner,8,"1927-1930 , 1932 , 1934 , 1936-1937 Pittsburgh"
Lou Gehrig,8,"1927-1928 , 1930-1932 , 1934 , 1936-1937 New York-AL"
Willie Keeler,8,1894-1898 Baltimore ; 1899-1901 Brooklyn-NL
Derek Jeter,8,"1998-2000 , 2005-2007 , 2009 , 2012 New York-AL"
Rogers Hornsby,7,"1920-1922 , 1924-1925 St. Louis-NL ; 1927 New York-NL ; 1929 Chicago-NL"
Charlie Gehringer,7,"1929-1930 , 1933-1937 Detroit"
Wade Boggs,7,1983-1989 Boston-AL
George Sisler,6,"1920-1922 , 1925 , 1927 St. Louis-AL ; 1929 Boston-NL"
Sam Rice,6,"1920 , 1924-1926 , 1928 , 1930 Washington-AL"
Al Simmons,6,"1925 , 1929-1932 Philadelphia-AL ; 1933 Chicago-AL"
Stan Musial,6,"1943 , 1946 , 1948-1949 , 1951 , 1953 St. Louis-NL"
Steve Garvey,6,"1974-1976 , 1978-1980 Los Angeles-NL"
Michael Young,6,"2003-2007 , 2011 Texas"
Chuck Klein,5,1929-1933 Philadelphia-NL
Kirby Puckett,5,"1986-1989 , 1992 Minnesota"
Tony Gwynn,5,"1984 , 1986-1987 , 1989 , 1997 San Diego"
