Name,Chartered,Institution,Location
Zeta Alpha,1967,University of Akron,"Akron , Ohio City-Wide"
Zeta Beta,1967,Wichita State University,"Wichita , Kansas"
Zeta Gamma,1968,Youngstown State University,"Youngstown , Ohio"
Zeta Delta,"April 16 , 1968",Bowie State University,"Bowie , Maryland"
Zeta Epsilon,1968,Coppin State University,"Baltimore , Maryland"
Zeta Zeta,1968,Truman State University,"Kirksville , Missouri"
Zeta Eta,1968,University of North Texas,"Denton , Texas"
Zeta Theta,"November 3 , 1968",Purdue University,"West Lafayette , Indiana"
Zeta Iota,"November 11 , 1968",Northern Illinois University,"Dekalb , Illinois"
Zeta Kappa,1969,Northern Michigan University,"Marquette , Michigan"
Zeta Lambda,1969,University of Central Missouri,"Warrensburg , Missouri"
Zeta Mu,"March 29 , 1969",Miami University,"Oxford , Ohio"
Zeta Nu,1969,Indiana State University,"Terre Haute , Indiana"
Zeta Xi,"April 18 , 1969",University of Wisconsin,"Madison , Wisconsin"
Zeta Omicron,1969,,"Greensboro , North Carolina"
Zeta Pi,"May 10 , 1969","Denver , Colorado City-Wide","Denver , Colorado"
Zeta Rho,1969,Ferris State University,"Big Rapids , Michigan"
Zeta Sigma,"May 29 , 1969",University of Houston,"Houston , Texas"
Zeta Tau,1969,Florida Memorial University,"Miami Gardens , Florida"
Zeta Upsilon,1969,San Antonio City-Wide,"San Antonio , Texas"
