Year,Film,Director,Job,Notes
2006,Flags of Our Fathers,Clint Eastwood,assistant film editor,
2004,Million Dollar Baby,Clint Eastwood,assistant editor,Clint Eastwood as Frankie Dunn
2004,Catwoman,Pitof,first assistant editor,
2003,Piano Blues,Clint Eastwood,assistant editor,
2003,Mystic River,Clint Eastwood,assistant editor,Original Music by Clint Eastwood
2002,Blood Work,Clint Eastwood,assistant film editor as Gary D. Roach,Clint Eastwood as Terry McCaleb
2000,Space Cowboys,Clint Eastwood,assistant editor as Gary D. Roach,Clint Eastwood as Frank Corvin Original Music by Clint Eastwood
1999,True Crime,Clint Eastwood,assistant film editor,Clint Eastwood as Steve Everett
1998,Monterey Jazz Festival : 40 Legendary Years,William Harper,assistant editor,video
1997,Midnight in the Garden of Good and Evil,Clint Eastwood,assistant film editor,
1997,Absolute Power,Clint Eastwood,assistant film editor,Clint Eastwood as Luther Whitney
1997,Eastwood After Hours : Live at Carnegie Hall,Bruce Ricker,assistant editor,( TV )
