Name,Chartered,Institution,Location
Omicron Alpha,1980,"Queens , New York City-Wide ( St. John 's University , Queens College , York College )","Queens , New York"
Omicron Beta,1980,Edward Waters College,"Jacksonville , Florida"
Omicron Gamma,"September 20 , 1980",University of Alabama in Huntsville,"Huntsville , Alabama"
Omicron Delta,1980,Bennett College,"Greensboro , North Carolina"
Omicron Epsilon,"December 13 , 1980",Mississippi University for Women,"Columbus , Mississippi"
Omicron Zeta,"December 20 , 1980",Oakland University,"Rochester , Michigan"
Omicron Eta,"February 15 , 1981",University of North Carolina at Greensboro,"Greensboro , North Carolina"
Omicron Theta,"February 28 , 1981",Wittenberg University,"Springfield , Ohio"
Omicron Iota,"May 9 , 1981",Elon University,"Elon , North Carolina"
Omicron Kappa,,State University of New York at New Paltz,"New Paltz , New York"
Omicron Lambda,"July 12 , 1981",California State University Long Beach,"Long Beach , California"
Omicron Mu,"January 23 , 1982",Auburn University at Montgomery,"Montgomery , Alabama"
Omicron Nu,,University of North Carolina at Pembroke,"Pembroke , North Carolina"
Omicron Xi,"May 30 , 1982",Emory University,"Decatur , Georgia"
Omicron Omicron,,La Salle University,"Philadelphia , Pennsylvania"
Omicron Pi,"April 9 , 1983",Southeast Missouri State University,"Cape Girardeau , Missouri"
Omicron Rho,,George Mason University,"Fairfax , Virginia"
Omicron Tau,"April 22 , 1983",Christopher Newport University,"Newport News , Virginia"
Omicron Upsilon,1983,West Virginia University,"Morgantown , West Virginia"
Omicron Phi,"May 5 , 1983",Clemson University,"Clemson , South Carolina"
