Year,Performing artist ( s ),Work,Nominees
1980,Paul McCartney and Wings,Rockestra Theme,Dixie Dregs - Night of the Living Dregs Neil Larsen - High Gear The Allman Brothers Band - Pegasus Frank Zappa - Rat Tomago
1981,The Police,Reggatta de Blanc,"Dixie Dregs - Dregs of the Earth Emerson , Lake & Palmer - Peter Gunn Jean-Luc Ponty - Beach Girl The Pretenders - Space Invader"
1982,The Police,Behind My Camel,Dixie Dregs - Unsung Heroes Robert Fripp - The League of Gentlemen Kraftwerk - Computer World Rush - YYZ
1983,A Flock of Seagulls,D.N.A,Dixie Dregs - Industry Standard Maynard Ferguson - Do n't Stop King Crimson - Requiem Van Morrison - Scandinavia
1984,Sting,Brimstone and Treacle,Allan Holdsworth - Road Games Rainbow - Anybody There Pete Townshend - Unused Piano Stevie Ray Vaughan and Double Trouble - Rude Mood
1985,Yes,Cinema,Lionel Hampton - Vibramatic Genesis - Second Home by the Sea Edward Van Halen - Donut City Stevie Ray Vaughan and Double Trouble - Voodoo Child ( Slight Return )
1986,Jeff Beck,Escape,Jon Butcher Axis - The Ritual Big Guitars from Texas - Guitar Army Yngwie Malmsteen - Rising Force Northern Star - Back to Earth Stevie Ray Vaughan and Double Trouble - Say What ! !
1987,Art of Noise and Duane Eddy,Peter Gunn,Eric Johnson - Zap The Alan Parsons Project - Where 's the Walrus ? The Fabulous Thunderbirds - Down at Antone 's Yes - Amazing Grace
1988,Frank Zappa,Jazz from Hell,"Herbie Hancock , Dweezil Zappa , Terry Bozzio - Wipe Out Bruce Springsteen - Paradise by the C Stevie Ray Vaughan and Dick Dale - Pipeline"
1989,Carlos Santana,Blues for Salvador,Jeff Healey Band - Hide Away Jimmy Page - Writes of Winter Joe Satriani - Surfing with the Alien Frank Zappa - Guitar
1990,"Jeff Beck , Terry Bozzio and Tony Hymas",Jeff Beck 's Guitar Shop,Steve Morse - High Tension Wires Joe Satriani - The Crush of Love Andy Summers - A Piece of Time Stevie Ray Vaughan and Double Trouble - Travis Walk
1991,Vaughan Brothers,D/FW,Eric Johnson - Ah Via Musicom Joe Satriani - Flying in a Blue Dream The Allman Brothers Band - True Gravity Steve Vai - Passion and Warfare
1992,Eric Johnson,Cliffs of Dover,Danny Gatton - 88 Elmira Street Rush - Where 's My Thing ? The Allman Brothers Band - Kind of Bird Yes - Masquerade
1993,Stevie Ray Vaughan and Double Trouble,Little Wing,Jeff Beck and Jed Leiber - Hound Dog Dixie Dregs - Bring 'Em Back Alive Santana - Gypsy/Grajonca Joe Satriani - The Extremist
1994,Steve Vai,Sofa,Aerosmith - Boogie Man Jeff Beck and Jed Leiber - Hi-Heel Sneakers Joe Satriani - Speed of Light Tangerine Dream - Purple Haze
1995,Pink Floyd,Marooned,Dixie Dregs - Shape of Things Rush - Leave That Thing Alone Santana - Luz Amore y Vida Joe Satriani - All Alone
1996,The Allman Brothers Band,Jessica,Jeff Healey Band - Shape of Things King Crimson - Vrooom Santana with Vernon Reid - Every Now and Then Steve Vai - Tender Surrender
1997,"Jimmie Vaughan , Eric Clapton , Bonnie Raitt , Robert Cray , B.B . King , Buddy Guy , Dr. John , and Art Neville",SRV Shuffle,Booker T. & the M.G . 's - Green Onions Eric Johnson - Pavilion Joe Satriani - ( You 're ) My World Edward and Alex Van Halen - Respect the Wind
1998,The Chemical Brothers,Block Rockin ' Beats,Robben Ford - In the Beginning Eric Johnson - S.R.V . Joe Satriani - Summer Song Steve Vai - For the Love of God
1999,Pat Metheny Group,The Roots of Coincidence,Everclear - El Distorto de Melodica Propellerheads - Take California Joe Satriani - A Train of Angels Kenny Wayne Shepherd Band - Trouble Is ... Jimmie Vaughan - The Ironic Twist
