Frequency,Call sign,Branding,Format,Owner
FM 88.1,CIND-FM,Indie88,indie rock,Central Ontario Broadcasting
FM 88.9,CIRV,,multilingual,Frank Alvarez
FM 89.5,CIUT,University of Toronto Community Radio,campus / community,University of Toronto campus radio
FM 90.3,CJBC,Ici Musique,public music,Canadian Broadcasting Corporation
FM 91.1,CJRT,JAZZ-FM91,jazz / public,CJRT-FM Inc
FM 91.9,CHIN-1,CHIN Radio,multilingual,CHIN Radio/TV International
FM 92.5,CKIS,KiSS 92.5,CHR,Rogers Media
FM 93.5,CFXJ,Flow 93-5,rhythmic CHR / hip hop / dance,Newcap Radio
FM 94.1,CBL,CBC Music,public music,Canadian Broadcasting Corporation
FM 95.9,CJKX-FM-2,KX96,country,Durham Radio
FM 96.3,CFMZ,Classical 96.3,classical music,ZoomerMedia
FM 96.9,CKHC,Radio Humber,campus radio,Humber College
FM 97.3,CHBM,boom 97.3,adult hits,Newcap Radio
FM 98.1,CHFI,98.1 CHFI,adult contemporary,Rogers Media
FM 98.7,CKFG,G98.7,Urban contemporary / smooth jazz,Intercity Broadcasting
FM 99.1,CBLA,CBC Radio One,public news / talk,Canadian Broadcasting Corporation
FM 99.9,CKFM,99-9 Virgin Radio,CHR,Bell Media
FM 100.7,CHIN,CHIN Radio,multilingual,CHIN Radio/TV International
FM 101.3,CJSA,Diversity FM,multilingual,Diversity Media Group
FM 102.1,CFNY,102.1 The Edge,modern rock,Corus Entertainment
