Medal,Name,Sport,Event,Date
Gold,Otto von Porat,Boxing,Men 's heavyweight,July 20
Gold,"Christopher Dahl , Eugen Lunde , Anders Lundgren",Sailing,6 m Class,July 26
Gold,"Rick Bockelie , Harald Hagen , Ingar Nielsen , Carl Ringvold , Carl Ringvold , Jr",Sailing,8 m Class,July 26
Gold,"Einar Liberg , Ole Lilloe-Olsen , Harald Natvig , Otto Olsen",Shooting,"Men 's 100 m team running deer , single shots",July 2
Gold,Ole Lilloe-Olsen,Shooting,"Men 's 100 m running deer , double shots",July 1
Silver,Henrik Robert,Sailing,Monotype Class,July 13
Silver,"Einar Liberg , Ole Lilloe-Olsen , Harald Natvig , Otto Olsen",Shooting,"Men 's 100 m team running deer , double shots",July 3
Bronze,Sverre Hansen,Athletics,Men 's long jump,July 8
Bronze,Sverre Sørsdal,Boxing,Men 's light heavyweight,July 20
Bronze,Otto Olsen,Shooting,"Men 's 100 m running deer , single shots",July 10
