Name,Age,Species,Year discovered,Country,Discovered by
Jebel Irhoud 1-5,286 ± 32 ka,early Homo sapiens or Homo helmei,1991,Morocco,
Samu,275 ± 25 ka,Homo heidelbergensis,1964,Hungary,László Vértes
Dali Man,260 ± 20 ka,Homo erectus or Homo heidelbergensis or early Homo sapiens,1978,China,Shuntang Liu
Florisbad Skull,259 ± 35 ka,early Homo sapiens or Homo heidelbergensis or Homo helmei,1932,South Africa,"T. F. Dreyer , G. Venter"
Galilee Man,250 ± 50 ka,Homo heidelbergensis,1925,Israel,Francis Turville-Petre
Saccopastore 1,250 ka,Homo neanderthalensis,1929,Italy,Mario Grazioli
Ngandong 7,112ka,Homo erectus,1931,Indonesia,C. ter Haar and G. H. R. von Koenigswald
Bontnewydd ( Pontynewydd ),230 ka,Homo neanderthalensis,1981,UK,
Apidima 1 ( LAO 1/S1 ),210 ka,Homo sapiens,1978,Apidima Cave / Greece,Theodore Pitsios
Petralona 1,200 ± 40 ka,Homo heidelbergensis ( uncertain ),1960,Greece,
Omo remains,195 ± 5 ka,Homo sapiens,1967,Ethiopia,Richard Leakey
Hexian cranial vault ( PA 830 ),195 ± 16 ka,Homo erectus,1980,"Hexian , China",
Laterite Baby,c. 190 ka,H. erectus or H. sapiens,2001,"Tamil Nadu , India",P Rajendran
Misliya-1,187 ± 13 ka,Homo sapiens,2002,Israel,Israel Hershkovitz
Apidima 2 ( LAO 1/S2 ),170 ka,Homo neanderthalensis,1978,Apidima Cave / Greece,Theodore Pitsios
Penghu 1,160 ± 30 ka or 40 ± 30 ka,Homo tsaichangensis,c. 2008,Taiwan,
Herto remains,160 ka,Homo sapiens,1997,Ethiopia,Tim White
Xiahe mandible,160 ka,Denisovan,1980,China,
Altamura Man,151 ± 21 ka,Homo neanderthalensis,1993,Italy,
LH 18,120 ± 30 ka,Homo sapiens,1976,"Ngaloba beds at Laetoli , Tanzania",Mary Leakey
