Name,Completion Date,Location,Construction type
Former Catholic Seminary ( 旧羅典神学校 ),1875,Nagasaki,Timber-framed Brick
Aosagaura Church ( 青砂ヶ浦天主堂 ),1910,Shinkamigotō,Brick
Mementos of Father Marc Marie de Rotz ( ド・ロ神父遺跡 ),,Nagasaki,
Former Shitsu Aid Center ( 旧出津救助院 ),,Nagasaki,
Dōzaki Church ( 堂崎教会 ),1907,Gotō,Brick
Hōki Church ( 宝亀教会 ),1899,Hirado,Wood / Brick
Christian tombstone ( 吉利支丹墓碑 ),,Minamishimabara,
Site of the Martyrdom of the 26 Saints of Japan ( 日本二十六聖人殉教地 ),1864,Nagasaki,
Site of Saint Dominic Church ( サント・ドミンゴ教会跡 ),1609,Nagasaki,
Urakami Cathedral ( 浦上天主堂 ),1959,Nagasaki,Reinforced concrete
Former Residence of Archbishop ( 旧大司教館 ),1914,Nagasaki,
Kaminoshima Church ( 神ノ島教会 ),1897,Nagasaki,Brick
Kurosaki Church ( 黒崎教会 ),1920,Nagasaki,Brick
Himosashi Church ( 紐差教会 ),1929,Hirado,Reinforced concrete
Ōso Church ( 大曾教会 ),1916,Shinkamigotō,Brick
